patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3C-AAAU,-0.027360622,-0.056567457,-0.06512968,0.07036422,-0.04264681,-0.027174039,-0.021763586,-0.041704085,-0.049335975,0.06351775,-0.028376801,-0.0149861425,-0.03964577,-0.046855748,-0.019842872,-0.047338784,-0.07476138,0.24160218,0.030354686,-0.011482558,-0.022842934,0.0020900005,-0.016562171,-0.014456373,0.028542511,-0.0046843393,-0.034317505,-0.03651779,-0.0113470005,-0.030970514,-0.04722096,-0.03659661,-0.059381716,-0.007188413,0.058470637,0.017038869,-0.022633104,-0.06858645,-0.014206985,-0.026014516,-0.00924969,0.10048947,0.12695323,-0.024542626,0.15866125,-0.050677933,0.23541959,-0.04237866,-0.023885738,0.12665012,-0.04343231,0.037982836,-0.049877487,-0.018033091,-0.021669194,0.072717056,-0.02496761,0.0025011445,0.019976461,-0.0042605605,-0.019406542,-0.036998704,-0.03529817,-0.04029562
TCGA-3C-AALI,-0.019423906,-0.05729726,-0.054027572,0.131162,-0.027194003,-0.044483185,-0.026609741,-0.04450173,-0.05326382,0.112584546,-0.033782594,-0.022767484,-0.0144063495,-0.058448564,-0.02265218,-0.037605464,-0.048814327,0.18281338,-0.017908162,-0.014846804,0.0006920444,-0.011029755,-0.0141830575,-0.034002587,0.012595166,-0.0057638157,-0.026039772,-0.03299034,-0.03665471,-0.031348586,-0.0717814,-0.046805423,-0.046533044,0.0012370172,0.09332594,0.03685273,-0.022119366,-0.09183499,-0.024053484,-0.05347064,0.0071188216,0.1160897,0.16955769,-0.016895557,0.097426444,-0.06744142,0.19118086,-0.04111679,-0.027845278,0.1553112,-0.049678996,0.017022269,-0.0539888,-0.019899668,-0.01867961,0.05916358,-0.023655482,0.102082506,0.03825219,-0.027937908,-0.02823538,-0.06712355,-0.048859257,-0.038314417
TCGA-3C-AALJ,-0.03111391,-0.045379903,-0.055803183,0.12310971,-0.028047469,-0.038576096,-0.010727797,-0.037115954,-0.061269335,0.13039258,-0.04388255,-0.011030649,-0.028146753,-0.052290596,-0.030266576,-0.041925114,-0.05501659,0.2802633,-0.021194411,-0.018513719,-0.024423338,-0.022247916,-0.017910998,-0.03006766,-0.00030828547,0.0042946087,-0.037907925,-0.03521335,-0.020088984,-0.026970588,-0.05957324,-0.04889107,-0.047357813,0.0011032415,0.045140892,0.031802576,-0.032006256,-0.062423013,-0.0204576,-0.044551767,0.021872982,0.12196244,0.16219464,-0.020114306,0.12143487,-0.06351913,0.19363588,-0.04937347,-0.038475055,0.2026027,-0.05521678,0.009243243,-0.038793214,-0.035429407,-0.01820065,0.051447235,-0.021899685,0.0666719,0.027094856,-0.023745278,-0.025746081,-0.06144491,-0.045103412,-0.027932884
TCGA-3C-AALK,-0.0068780044,-0.037906066,-0.040762004,0.16999736,-0.035834815,-0.034735136,-0.020469736,-0.028461058,-0.056202807,0.070205174,-0.028009102,0.00038820552,-0.030986303,-0.04891477,-0.024568394,-0.04275112,-0.054113675,0.19342835,-0.027314276,-0.009824684,-0.024519112,-0.030553386,-0.018391453,-0.032762434,0.006419124,-0.0061666956,-0.035010576,-0.03916361,-0.011942014,-0.024048125,-0.047273353,-0.03652377,-0.050970867,-0.005412575,0.1171259,0.038146853,-0.029946525,-0.041395552,-0.02316553,-0.00932168,0.0022999851,0.07030157,0.21355742,-0.02425565,0.13898258,-0.05913493,0.21510267,-0.05262648,-0.03444399,0.17514317,-0.042648904,-0.004570217,-0.041486498,-0.028688587,-0.016261425,0.043621585,-0.022581957,0.24986014,0.039593995,-0.02619545,-0.02220292,-0.03649138,-0.02517981,-0.016850064
TCGA-4H-AAAK,-0.012460448,-0.03413503,-0.035064112,0.14138794,-0.036250584,-0.03144436,-0.021046184,-0.028908508,-0.06417779,0.116139136,-0.023839455,-0.0057724635,-0.024996433,-0.033582464,-0.014659231,-0.037353817,-0.061031815,0.23452193,-0.030655095,-0.009996041,-0.03149702,-0.022098497,-0.014158036,-0.024144165,0.079278864,-0.009771654,-0.0334207,-0.036309574,-0.009542006,-0.025752828,-0.05036243,-0.03271263,-0.05598298,-0.008564428,0.12793775,0.0850877,-0.0334343,-0.05601433,-0.022219123,-0.023392564,0.00818068,0.093865395,0.19532019,-0.018084675,0.15788126,-0.04785409,0.24733284,-0.04484518,-0.03190807,0.10967553,-0.040659297,-0.006179774,-0.0431799,-0.024441984,-0.023964819,0.036036327,-0.034653146,0.2000455,0.07287806,-0.032417685,-0.01910802,-0.020638848,-0.021721799,-0.022117808
TCGA-5L-AAT0,-0.006067792,-0.03291069,-0.03324216,0.15633464,-0.02905821,-0.029726004,-0.026131064,-0.03153454,-0.05330771,0.10052527,-0.020322757,-0.0073202355,-0.028443046,-0.038345743,-0.01845078,-0.037880972,-0.06023746,0.22645527,-0.028489463,-0.011031005,-0.020644873,-0.018632876,-0.014651032,-0.02607108,0.056144133,-0.015390767,-0.033297077,-0.03725471,-0.016394101,-0.023207799,-0.04579576,-0.032811765,-0.053311624,-0.004943833,0.14691888,0.08461612,-0.027591549,-0.04575845,-0.017209208,-0.0021248963,0.0058436897,0.056418575,0.17420967,-0.015361857,0.14295712,-0.050393783,0.20307519,-0.03229656,-0.02974797,0.1733831,-0.043278247,-0.0029203342,-0.036315303,-0.008345272,-0.028792063,0.057439193,-0.024533827,0.26505795,0.042383656,-0.025742853,-0.011643934,-0.029678494,-0.015670488,-0.0068568303
TCGA-5L-AAT1,-0.0005606583,-0.042801015,-0.038722128,0.14012024,-0.02860536,-0.032141373,-0.0134992255,-0.023960376,-0.060778566,0.107104346,-0.027331974,-0.0073523778,-0.029469058,-0.049372267,-0.021526711,-0.043717735,-0.05081849,0.24002236,-0.035192758,-0.007280391,-0.027853835,-0.025003515,-0.020536961,-0.03513897,0.03502762,-0.01597405,-0.02595144,-0.03831128,-0.0055118394,-0.03512969,-0.050896034,-0.03358145,-0.047798317,-0.006807119,0.105509356,0.038215388,-0.035527363,-0.042417683,-0.020524373,-0.008779638,0.013889803,0.049524546,0.20308359,-0.031510454,0.14730632,-0.058136262,0.23438728,-0.04047408,-0.02989227,0.14448036,-0.049467877,-0.006021263,-0.039727427,-0.02245577,-0.012349455,0.07999614,-0.023739934,0.33673003,0.008611813,-0.02938535,-0.032080904,-0.034786344,-0.026152188,-0.011401974
TCGA-5T-A9QA,-0.012142227,-0.060891896,-0.053106792,0.12467788,-0.039939564,-0.043823432,-0.03536168,-0.03618435,-0.07175048,0.0991402,-0.049610652,-0.0036327098,-0.03945523,-0.07282552,-0.032487854,-0.058432758,-0.036165267,0.16692294,-0.03507906,-0.017551683,-0.042645883,-0.027290845,-0.020565426,-0.030457566,0.014311515,-0.008041003,-0.055788014,-0.055477813,-0.020370647,-0.033284076,-0.067644,-0.054747462,-0.064114004,-0.0071134605,0.1161935,0.03661537,-0.038256485,-0.0755827,-0.02869489,-0.039205454,-0.011471303,0.11840251,0.23789352,-0.021614596,0.15291482,-0.07897477,0.22745542,-0.048311867,-0.048964255,0.15829188,-0.04308416,0.010706304,-0.044031046,-0.028355425,-0.009859355,0.029854473,-0.030996395,0.099672705,0.044872142,-0.015421287,-0.037241843,-0.04988637,-0.058858953,-0.040709764
TCGA-A1-A0SB,-0.01758634,-0.0073626284,-0.012371395,0.04706885,-0.046057586,-0.014375264,-0.028911592,-0.031350326,-0.043461226,0.09614369,-0.03271676,-0.0077585606,-0.04791181,-0.049893793,-0.016194664,-0.052061602,-0.0474188,0.20453447,-0.0138522,0.052451428,-0.042088535,-0.017165627,-0.009052757,-0.020454602,0.06689431,-0.01332061,-0.040581193,-0.040283393,-0.01640366,-0.02786055,-0.03230803,-0.038385604,-0.07431602,-0.010826955,0.015932648,0.016973224,-0.028825993,-0.04874539,-0.016813666,0.04383123,-0.013580579,-0.007947845,0.2110048,-0.02160775,0.14081518,-0.044155817,0.2381557,-0.050791398,-0.01823001,0.21403551,-0.022829317,-0.008536712,-0.048190005,-0.026846476,-0.022528235,0.07529418,-0.045818057,0.21138442,0.0374343,0.04414881,-0.045349926,0.022904413,0.014485981,-0.029413847
TCGA-A1-A0SE,-0.007599959,-0.035908204,-0.038473994,0.107955575,-0.03566205,-0.031209975,-0.022527419,-0.02797762,-0.047905855,0.07612792,-0.031633206,-0.013642753,-0.038933188,-0.036256813,-0.013436051,-0.039553106,-0.05905678,0.15359473,-0.020615779,-0.01095007,-0.024715487,-0.019476227,-0.018419651,-0.030931212,0.036683988,-0.0052738227,-0.03167985,-0.038881302,-0.012993634,-0.030790228,-0.04900301,-0.028023064,-0.05692859,-0.006888058,0.09399169,0.032067824,-0.027076576,-0.055290274,-0.022087738,-0.00727119,0.05470311,0.08298927,0.2175145,-0.018433413,0.13759267,-0.058508866,0.17306793,-0.040091023,-0.037119348,0.14816728,-0.04351996,0.0015912611,-0.037667006,-0.020929713,-0.017146565,0.06256591,-0.030155461,0.19104984,-9.404979e-05,-0.022094186,-0.022271818,-0.033411518,-0.01961308,0.0020702058
