patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3C-AAAU,-0.015646782,-0.0164343,0.16051242,-0.026086917,0.04219085,-0.03158102,-0.03274966,-0.008223437,0.043526985,-0.046712264,-0.008493708,0.10257442,-0.07446657,-0.013076551,-0.0041652177,1.0422949,-0.010114486,-0.008653059,-0.002506252,-0.017842881,0.092166044,-0.012434492,-0.06448772,1.0885488,-0.019064754,0.15660307,0.7427904,-0.023193883,0.2977281,-0.0110895615,-0.037998833,-0.042212468,-0.012071425,-0.011178061,-0.0109625915,-0.009495677,-0.0057731457,0.027205516,-0.03965009,-0.014400699,-0.008669802,-0.018450627,-0.025922058,0.07785098,-0.07358393,-0.031552203,-0.018354762,0.12321906,-0.043415233,0.04338316,0.3019771,-0.014099362,0.0046662884,-0.012915747,-0.06326823,-0.037517928,-0.025267048,-0.056911156,0.44474554,0.113951266,-0.018237896,-0.0145129375,-0.0008312268,-0.021438986
TCGA-3C-AALI,-0.01831498,0.0029529105,0.102769054,-0.02088419,-0.0072468016,-0.019585587,-0.030022468,0.002771598,-0.009717597,-0.030449584,-0.017104149,0.09042266,-0.083791226,-0.013043186,0.036058474,1.0948287,-0.020141993,-0.008811526,-0.02099733,-0.018309344,0.05045487,0.0025361693,-0.0710216,1.0148897,-0.017935496,0.19384626,0.78929055,-0.02999644,0.28650928,0.0018524303,-0.035627086,-0.0640482,-0.014206376,-0.015347348,-0.023363385,-0.005524696,-0.00887703,0.040046003,-0.058999017,-0.019187162,-0.0058842655,-0.017857507,-0.02138691,-0.021083515,-0.083757274,-0.048269622,-0.023978207,0.09338112,-0.023627888,0.022751264,0.19293588,-0.0026360038,-0.022091473,-0.022323852,-0.07745543,-0.045905713,-0.0282847,-0.04902465,0.46827197,0.05709553,-0.011719341,-0.028718589,-0.01386709,-0.019566158
TCGA-3C-AALJ,-0.020008072,-0.01704998,0.06812394,-0.032390203,0.04336961,-0.034452643,-0.028506627,-0.0044535594,-0.009625856,-0.049195603,-0.0086106295,0.12323181,-0.09800721,-0.015186977,-0.006347644,1.0547819,0.02081877,-0.0144517915,-0.016600179,-0.021680035,0.04137022,-0.005875063,-0.07362898,0.9929877,-0.020145234,0.17694807,0.8170396,-0.018731253,0.30534515,-0.002830224,-0.0452987,-0.061298437,-0.032777864,-0.009610672,-0.025655279,-0.013607863,-0.00935739,0.04122608,-0.072508335,-0.016380472,-0.0064908834,-0.022341099,-0.015609225,-0.009779026,-0.09536747,-0.050243683,-0.020754803,0.164753,-0.03375287,0.01276228,0.2030532,-0.015782092,-0.03485234,-0.012643173,-0.08760251,-0.053908255,-0.02065525,-0.04965032,0.39187807,0.11944041,-0.020803733,-0.027360447,-0.027873745,-0.028116705
TCGA-3C-AALK,-0.021015152,0.0049710423,0.024973553,-0.029090758,-0.003296676,-0.03974791,-0.0354174,-0.014813173,0.0062950524,-0.04575952,0.00023352448,0.18288237,-0.09004058,-0.019893222,-0.0075838147,1.0576863,-0.010604138,0.004274586,-0.011374645,-0.018678382,0.15937369,0.012516663,-0.07684662,1.0303584,-0.023057396,0.121565014,0.7364906,-0.015482442,0.28320196,-0.011450174,-0.041257903,-0.06005933,-0.017126273,-0.013372686,-0.016731676,0.0045271507,-0.012312394,0.028746067,-0.079891525,-0.016358063,-0.007898316,-0.029581837,-0.015040778,-0.007803231,-0.09483532,-0.046240263,-0.017659646,0.13381734,-0.046400644,0.0049057696,0.18757905,-0.009968698,-0.021035979,-0.013954619,-0.08699526,-0.059364457,-0.03412453,-0.052178107,0.35809934,0.12764408,-0.018630037,-0.038390968,-0.023537353,-0.012274502
TCGA-4H-AAAK,-0.004899028,-0.01186205,0.008524143,-0.02012232,0.015354052,-0.032466777,-0.022236831,-0.01279562,-0.0081756255,-0.037832193,-0.013137841,0.10435553,-0.081074335,-0.011175911,-0.009684259,0.9793342,-0.007999857,0.0020912075,-0.012926714,-0.020560669,0.043799974,0.014555165,-0.062957965,0.9409374,-0.016944611,0.11166858,0.73159003,-0.017662697,0.19009843,-0.009489909,-0.03576609,-0.052929014,-0.010706112,-0.012419305,-0.016318837,0.00045211054,-0.012307461,0.036018454,-0.048818246,-0.011221673,0.027426913,-0.023289591,-0.015040478,-0.009220495,-0.0795827,-0.036821082,-0.020000298,0.030707862,-0.04279417,0.0073517943,0.17537133,-0.0015332133,-0.012166416,-0.009329695,-0.06995201,-0.046696108,-0.02195199,-0.043610774,0.41002977,0.1402193,-0.013620745,-0.026003866,-0.013212647,-0.01872165
TCGA-5L-AAT0,-0.014857319,-0.0054610474,0.056778006,-0.019316956,0.04261908,-0.03349766,-0.019267568,-0.0066536535,-0.0026241918,-0.043851934,0.004230477,0.12768766,-0.06901421,-0.015286168,-0.009999046,0.99313474,-0.0046699,0.010118918,-0.012483764,-0.014877462,0.08805676,-0.0019827269,-0.06048254,0.9379665,-0.01188612,0.091753975,0.66647804,-0.01695769,0.26033866,-0.010636559,-0.03327254,-0.05118792,-0.010464879,-0.011090701,-0.011495065,-0.009924269,-0.008696966,0.015599132,-0.04677565,0.002816967,0.01161149,-0.02440304,-0.018803839,-0.00882423,-0.0797903,-0.028404903,-0.01677177,0.072859436,-0.038199745,0.0027408958,0.14816928,-0.010051359,-0.0072265742,-0.0043425225,-0.0689211,-0.043241862,-0.016823966,-0.051873904,0.37252674,0.15015058,-0.01569312,-0.02809308,-0.019068046,-0.018862257
TCGA-5L-AAT1,-0.0117980605,0.008179041,0.03902466,-0.024441332,-0.007335134,-0.033486992,-0.024287494,-0.017061155,-0.003871875,-0.038547974,-0.010258516,0.14625931,-0.07880935,-0.022122229,-0.006773649,1.0376354,-0.0018861524,-0.0070264246,-0.018634498,-0.015253497,0.08283012,0.022631947,-0.07186441,1.0240788,-0.018213233,0.14316446,0.713315,-0.022401761,0.30302078,0.0020796647,-0.029406507,-0.052900173,-0.012526181,-0.01371333,-0.013767442,-0.008743505,-0.012499582,0.027770108,-0.06137898,-0.006047976,-0.01027428,-0.023105744,-0.004312263,-0.017541979,-0.088213414,-0.038387522,-0.018047549,0.09679259,-0.043820202,-0.00078678876,0.15988258,-0.008856343,-0.01916633,-0.011895174,-0.080978975,-0.050871648,-0.02220743,-0.049862158,0.3996998,0.112288736,-0.012097705,-0.03124466,-0.022248773,-0.013435531
TCGA-5T-A9QA,-0.018521283,0.0007202856,0.046226244,-0.03362029,0.0020297472,-0.044725608,-0.049780354,-0.005229694,-0.01350908,-0.07140178,-1.7882325e-05,0.14375195,-0.12841849,-0.030074041,-0.008637376,1.3865646,0.0013901277,0.0006387825,-0.020698592,-0.024593245,0.1392642,-0.0031511742,-0.09378877,1.2066369,-0.03036967,0.1982514,0.89867294,-0.016666207,0.3169216,-0.01608525,-0.04648185,-0.07692768,-0.007605212,-0.016280077,-0.025063476,-0.020968176,0.0032167076,0.0075655174,-0.10382417,-0.0066550467,-0.0036773053,-0.022683557,-0.018853806,-0.011859081,-0.1103092,-0.053667508,-0.026294582,0.10525276,-0.050139755,0.025984596,0.2998271,-0.022620581,-0.04275642,-0.01525056,-0.10919748,-0.088582374,-0.032089833,-0.060677882,0.50579864,0.098092124,-0.019436533,-0.038707823,-0.02334069,-0.04207834
TCGA-A1-A0SB,-0.01851674,-0.013344301,-0.003128245,-0.023265136,-0.007955028,-0.031246463,-0.024710018,-0.014231533,-0.014502107,-0.0486049,0.00805405,0.26576647,-0.070710674,-0.00847863,-0.0063347467,1.1567422,-0.005897959,-0.008064786,-0.019084102,-0.022732865,0.00484592,0.025100244,-0.048111863,1.1081443,-0.016166812,0.094810024,0.76470757,-0.019542558,0.38726473,-0.011269473,-0.028483488,-0.049911827,-0.019530654,-0.015424799,0.025092665,0.07254024,0.048772123,0.065530345,-0.04347758,-0.009871877,-0.023940798,-0.015871465,0.0065186415,0.0048242453,-0.06706971,-0.030452766,-0.017500926,0.08480769,-0.030907638,0.034718253,0.30888364,0.016142031,0.07857125,9.105541e-05,-0.020966183,-0.040790923,-0.013827561,-0.05463156,0.39306393,0.121841654,-0.013573869,-0.020620402,0.022623159,-0.014009188
TCGA-A1-A0SE,-0.013731439,-0.003241148,0.019669041,-0.021147868,-0.007970988,-0.03790613,-0.026489042,-0.0065862606,0.0014530225,-0.043491308,-0.005426475,0.16558854,-0.0760064,-0.012259371,-0.012344426,1.0699558,-0.0084993,-0.0071204943,-0.003169586,-0.009015996,0.05179366,0.0017446859,-0.06498183,0.9628905,-0.018153204,0.10540664,0.6656863,-0.022512894,0.25260213,-0.010703395,-0.027972953,-0.056951158,-0.014886926,-0.011927465,-0.01213507,-0.006117682,-0.0089173885,0.026910372,-0.05397241,-0.004550365,-0.007290111,-0.02690256,-0.012073889,-0.00446538,-0.07384546,-0.035127144,-0.018840889,0.060182773,-0.046133954,0.009280583,0.112182416,-0.010046926,-0.007353213,-0.014107423,-0.07090622,-0.045523435,-0.025486596,-0.04681962,0.40075624,0.1278824,-0.017646622,-0.031883597,-0.01343926,-0.019313924
