patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3L-AA1B,-0.017730204,-0.061218426,-0.02640627,-0.019172795,0.32992548,-0.01282662,-0.021620806,-0.0035129013,-0.018727278,-0.03334824,0.0008327041,-0.02108021,-0.016915232,-0.008220794,-0.04835231,-0.010770725,-0.07632728,-0.002246935,-0.02135101,-0.01191921,0.39643466,-0.017785415,-0.023499848,-0.023970582,-0.02403651,-0.0056181857,-0.017860228,-0.03530835,-0.015314069,-0.022286432,-0.07722463,-0.039412457,0.37817568,-0.017420556,1.2249683,-0.064476624,0.57406676,-0.030225862,-0.017917436,-0.015645698,-0.031616893,-0.0061844997,-0.014261762,1.0597253,-0.025185935,-0.01560304,1.2689822,-0.03099375,-0.01825193,-0.010898111,-0.047511946,-0.13870949,0.025354747,-0.022019435,-0.010584837,-0.06802733,-0.031755157,-0.021382213,-0.023163121,-0.03835295,-0.0053570145,-0.014685642,-0.030612212,-0.022749113
TCGA-4N-A93T,-0.008555167,-0.07808106,-0.03279911,-0.02350852,0.31627724,-0.028451942,-0.015095325,-0.013026856,0.023026794,-0.043735616,-0.03710621,-0.025789214,-0.008296523,-0.014522329,-0.04124353,0.037059925,-0.07765321,0.00045281416,-0.027522989,0.067867294,0.29133597,-0.010720314,-0.017384738,-0.016669907,-0.029471744,-0.009836334,0.00041893125,-0.056335904,-0.025066325,-0.022592124,-0.09302865,-0.046611216,0.50703776,-0.017004631,1.2446227,-0.08353929,0.6368474,-0.031202242,-0.027489679,-0.012528582,-0.040298883,-0.01864756,-0.023610424,1.0019541,-0.037713844,-0.02433192,1.4240065,-0.039006203,0.04065894,0.05088853,-0.04426135,-0.1504103,-0.016620282,-0.018467959,-0.019479949,-0.08408946,-0.03808958,-0.028915344,-0.0017605722,-0.040815294,-0.022826843,-0.01752434,-0.027680233,-0.03488362
TCGA-4T-AA8H,-0.016897794,-0.05400651,-0.019982772,-0.015986009,0.34296775,-0.020883156,-0.027151776,0.069913395,-0.016314354,-0.02643371,-0.014035166,0.012748463,-0.0010404876,0.021631151,-0.041806012,0.024083646,-0.0725287,-0.003924574,-0.025919095,-0.011275944,0.3520921,-0.016235298,-0.009470231,-0.015327377,-0.016020935,0.045948558,0.036239713,-0.03519256,-0.0040359986,-0.016363565,-0.060182005,-0.037413757,0.37754685,-0.02449432,1.1806897,-0.05311152,0.75643665,-0.038724378,-0.014823121,-0.0043540546,-0.031679343,0.031140298,-0.029125482,1.052312,-0.03210218,-0.01428827,1.3636392,-0.020999586,-0.015326439,-0.007018163,-0.033909317,-0.12658717,0.0054009296,-0.01646602,0.005723418,-0.055155497,-0.028242225,-0.011613894,-0.015636852,-0.029849933,-0.013341138,-0.0054259193,-0.023168856,-0.022075627
TCGA-5M-AAT4,-0.022126202,-0.0666337,-0.018657014,-0.023060614,0.41673574,-0.012551399,-0.034095388,-0.0114051355,0.026865322,-0.023381267,-0.019908924,-0.021000108,-0.018131549,-0.017460598,-0.048038647,0.056146324,-0.074063666,-0.00797254,-0.012305321,-0.014080822,0.34751362,-0.017337985,-0.030818665,-0.02804107,-0.028773073,-0.011081404,0.048068054,-0.045077927,-0.022930931,-0.013558899,-0.07036838,-0.0419926,0.57809067,-0.017462615,1.4242972,-0.08412881,0.5890757,-0.037799872,-0.014482343,-0.016801521,-0.043418217,0.014983406,-0.013905453,1.2134132,-0.020716127,-0.024541624,1.5463983,-0.030742921,-0.010162905,-0.01409052,-0.04158164,-0.1460625,-0.010793602,-0.039364055,-0.017971754,-0.07554069,-0.03516691,-0.02402146,-0.031705692,-0.039540242,-0.0030960469,0.00034444034,-0.04457116,-0.022091605
TCGA-5M-AAT6,-0.0149175115,-0.04791228,-0.009150375,-0.010402793,0.35340965,0.033082638,-0.033965137,-0.010747386,0.0065487996,-0.03298361,-0.014555421,-0.029671967,-0.018989427,-0.0146019105,-0.044890814,-0.0005186541,-0.058036804,-0.008734682,-0.021328423,-0.013125969,0.3981929,-0.034502126,-0.018044464,-0.017450128,-0.028093034,-0.025882589,0.02178241,-0.031042073,-0.02742963,-0.014459281,-0.07840338,-0.021352777,0.60589826,0.0014112783,1.6071031,-0.020561876,0.77318466,-0.027873203,-0.0139523335,0.033791434,-0.045237195,-0.021524774,-0.012863122,1.3442392,-0.013315216,-0.010661637,1.7120869,-0.022087859,-0.03364097,-0.00983157,-0.022776539,-0.1418518,-0.015282419,-0.040476184,-0.02538547,-0.052666724,-0.028024543,-0.0097344555,-0.027654544,-0.04231602,0.019516839,-0.007013391,-0.0243823,-0.024190478
TCGA-5M-AATE,-0.028121341,-0.06498121,-0.0170286,-0.014408182,0.2837472,-0.020671187,-0.01922765,0.0039220676,0.0008960115,-0.028271567,-0.005548614,-0.013062481,-0.013222351,-0.013060876,-0.050537884,0.027351214,-0.062079415,-0.015654605,-0.039717507,-0.008836186,0.41227254,-0.018041441,-0.016712593,-0.018047998,-0.01655991,-0.011462752,0.022140265,-0.039105173,0.028937118,-0.0119778775,-0.076856814,-0.025249524,0.47925216,-0.0017472436,1.3422551,-0.067116134,0.6264428,-0.027474489,-0.030566722,-0.007091858,-0.04244651,-0.0078275595,-0.011893917,1.1417341,-0.03505146,0.0034286631,1.4130089,-0.010111462,-0.009324921,-0.018441606,-0.03413272,-0.1273278,-0.01868568,-0.021583077,-0.008825526,-0.06487419,-0.0322384,0.04301218,-0.01660354,-0.030145235,-0.0037934354,-0.016492555,-0.033715148,-0.01749047
TCGA-A6-2671,-0.033510715,-0.07112541,-0.0265395,-0.030469304,0.44268793,0.032369364,-0.02448391,-0.02648629,-0.024818692,-0.03074408,-0.021189682,0.056556486,0.0009455797,-0.008069591,-0.046774752,0.036419455,-0.064683184,0.009672089,-0.025579244,-0.023873152,0.39676714,-0.029689588,-0.025166728,-0.025805144,-0.013032883,-0.03525233,-0.008295439,-0.04482758,-0.02444639,-0.017848175,-0.07204251,-0.0060163722,0.5161025,-0.013385188,1.3595595,-0.08243122,0.56137395,-0.024324458,-0.020969562,-0.015682265,-0.047302075,0.0032573007,-0.0027637016,1.1965725,-0.022432711,0.026983723,1.5225415,-0.026113024,-0.008485491,-0.014039126,-0.015117747,-0.12583388,-0.019612886,-0.012644068,-0.0029889904,-0.056024626,-0.036421128,-0.022016495,-0.015037976,-0.05501326,-0.023525562,0.0087008625,-0.042876765,-0.01715709
TCGA-A6-2672,-0.02075382,-0.07694375,-0.024198128,-0.015266102,0.4017553,-0.012994252,-0.052112587,-0.011801645,-0.01590427,-0.01829028,-0.018952155,-0.0069319,-0.020212157,-0.007674705,-0.057075694,-0.0074502267,-0.08828217,-0.010470452,-0.021980362,-0.019767566,0.51821744,-0.027636554,-0.034220736,-0.02721618,-0.014015162,0.02161323,-0.013718324,-0.053581256,-0.019819297,-0.022484602,-0.074386194,-0.05398906,0.5460894,-0.01912584,1.4587953,-0.060575802,0.75132936,-0.032202348,-0.02545045,-0.013239898,-0.05068683,0.06315172,-0.019276423,1.2498947,-0.027004387,0.0024787541,1.5694728,-0.042405926,-0.02754404,-0.014713585,-0.053971283,-0.17725854,-0.004294194,-0.021477824,-0.015271071,-0.073811896,-0.039524674,0.020693963,-0.020323068,-0.047187634,0.05617678,-0.009389291,-0.029156616,-0.027487345
TCGA-A6-2675,-0.0076651527,-0.041975863,-0.018945599,-0.009535013,0.2767225,-0.007566978,-0.018683335,-0.0025932123,-0.014334649,-0.020048533,-0.008306598,-0.01059098,-0.009174326,0.020793615,-0.024078067,0.01509659,-0.04579374,0.03453252,-0.012070725,-0.012950571,0.36655086,-0.0133133335,-0.011600787,-0.01857178,-0.013878293,-0.017740596,0.020746533,-0.01657866,-0.011978728,-0.005914409,-0.050342146,-0.018426605,0.40764594,-0.017287714,1.1235939,-0.053431407,0.5244911,-0.023795735,-0.011931599,-0.01730783,-0.031830974,-0.018381106,-0.008310974,0.93005955,-0.013536984,0.005972737,1.1949085,-0.013801634,-0.0049656173,-0.009897707,-0.028789716,-0.09911738,-0.013562141,-0.023928674,-0.008290416,-0.04028725,-0.025051635,-0.023489976,-0.024848528,-0.02925898,0.010111127,-0.015448917,-0.01512361,-0.015800389
TCGA-A6-2677,-0.0172381,-0.07023964,-0.031766653,-0.017853227,0.32564008,-0.028714547,-0.02649364,0.01992893,0.014698409,-0.035373703,-0.021113608,-0.0324651,-0.027217345,-0.017883513,-0.06207835,-0.0061388295,-0.08656651,-0.012579004,-0.017151957,-0.019728169,0.3903213,-0.028306924,-0.02220678,-0.036429547,-0.027503831,-0.02067798,0.0563402,-0.043328494,-0.027383173,-0.024727406,-0.081889585,-0.042736083,0.51903296,-0.023109999,1.4622862,-0.053845365,0.6592767,-0.041802716,-0.011666525,-0.020950094,-0.05866777,0.0060682353,0.005310915,1.2379504,-0.038691018,-0.020841664,1.4878484,-0.032032784,-0.017591044,-0.014548058,-0.026147328,-0.14551401,0.041554056,-0.02093754,0.0059846514,-0.07581407,-0.030710233,-0.019751655,-0.015726041,-0.037272334,-0.012435101,-0.028195353,-0.018603595,-0.021203907
