patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3L-AA1B,0.68898535,-0.016816322,-0.018057909,-0.01831242,-0.024274439,-0.025860842,-0.01429409,-0.01733768,-0.01930581,1.122659,0.0004891807,-0.016013268,0.3283992,-0.019707507,0.049443007,-0.01535609,-0.017695075,-0.012613036,-0.026233073,-0.01031447,0.91819894,-0.006350929,-0.023826282,-0.027028238,-0.010614501,0.081085615,-0.032988537,-0.021085689,-0.014504391,0.56691015,-0.019458417,-0.031186633,-0.02713912,-0.016089827,-0.031783074,-0.017589726,0.45447686,-0.014506722,-0.027420394,0.0018933155,1.2257378,-0.012033548,0.0015872587,0.03709012,-0.029867673,-0.018029023,-0.014650399,-0.012910145,-0.014253592,0.013098935,-0.015495122,-0.03230829,-0.020019967,-0.02425469,-0.019338725,-0.038852885,-0.018149752,-0.014749814,-0.010425474,-0.014749819,-0.020914663,0.08980873,0.79040104,-0.026208932
TCGA-4N-A93T,0.7676799,0.0015408201,-0.018364131,-0.022601087,-0.017566057,-0.026308063,-0.014918364,-0.012082344,-0.020479187,1.1447724,-0.007602782,-0.024496313,0.30900687,-0.021841668,0.038855683,-0.012823879,-0.010919178,-0.025168456,-0.04817284,-0.022983909,0.9050316,0.04172317,-0.028143674,-0.023014503,-0.024170825,0.14610663,-0.031788282,0.0008647917,-0.0318514,0.43168473,-0.04710969,-0.039026372,-0.031728506,-0.01772,-0.03731088,-0.026459334,0.54006386,-0.019660164,-0.054554492,-0.01859489,1.1750938,-0.024320621,-0.024331026,0.07112898,-0.017905215,-0.035502054,-0.008536242,-0.015066514,0.04187362,-0.002312987,-0.00946703,0.019122593,-0.030246247,-0.028609514,0.012722889,-0.04019787,-0.013774041,-0.0091232555,-0.022470787,-0.0141940685,-0.026565507,0.0058676717,0.80210054,-0.021731954
TCGA-4T-AA8H,0.6642254,-0.010891199,-0.008840045,-0.015024578,-0.026516318,-0.022870759,-0.014543737,-0.012377958,-0.0185549,1.070015,-0.008502677,-0.01235407,0.23212475,-0.018573262,-0.0017620083,-0.029464174,0.010805033,-0.016566897,-0.029856857,-0.01262774,0.9105669,-0.0031294012,-0.026018556,-0.02289933,-0.011789262,0.07288222,-0.027294207,-0.0175016,-0.013246389,0.49057084,-0.025715746,-0.027047211,-0.02974357,0.031773463,-0.044451762,-0.014466183,0.5419872,-0.03187736,-0.030457832,-0.017646503,1.2245313,-0.013768734,0.05179827,0.041562006,-0.032893345,-0.021822548,-0.015346451,-0.0049881,0.0038947351,0.025486864,-0.021039717,-0.02828917,-0.021635102,-0.013501549,-0.020933867,-0.032498725,-0.018073324,-0.009417439,0.0044804136,-0.009133843,-0.01718201,0.09503962,0.8096577,-0.029253846
TCGA-5M-AAT4,0.82215536,-0.005302922,-0.016008753,-0.014110059,-0.010048984,-0.031525,-0.009875709,-0.015996305,-0.029517252,1.3295871,-0.008093268,-0.020338858,0.38404036,-0.012285741,0.12610783,-0.005543124,-0.021291854,-0.010960304,-0.025567466,-0.016441545,1.003355,-0.016384704,-0.020903774,-0.027232409,-0.012516664,0.13803709,-0.026573125,-0.01046991,-0.013715282,0.61763036,-0.034057423,-0.03633745,-0.021169743,-0.016851744,-0.030461166,-0.007939586,0.429974,-0.022417799,-0.043628253,-0.024280047,1.2696964,-0.02179933,-0.022292923,-0.006752863,-0.03253959,-0.02902933,-0.01816702,-0.012852523,-0.0052592424,0.021208033,-0.016146895,-0.026998334,-0.032227587,-0.02110653,-0.008606343,-0.04628402,-0.02357393,-0.020484025,0.01922665,-0.010610597,-0.028273508,0.04154124,0.81421244,-0.036655266
TCGA-5M-AAT6,0.836689,-0.019821279,-0.015549876,-0.014197655,-0.014775509,-0.030339766,-0.017311629,-0.01652393,-0.032350905,1.3758848,-0.034279957,-0.018191706,0.40820202,-0.017619194,0.05063141,0.038040314,-0.0011426366,0.07253685,-0.036255807,-0.011519725,1.241336,0.018836878,-0.009844027,-0.025458064,-0.015869541,0.18037131,-0.035665963,0.013953833,0.005229757,0.70975804,-0.03165889,-0.02688289,-0.03951273,-0.027120104,-0.030050667,0.021256704,0.4602757,-0.019373871,-0.028173022,-0.009542613,1.4302543,-0.01621066,-0.028607111,-0.0037865615,-0.03557647,-0.018400868,-0.025621656,-0.018947586,0.008612044,-0.016806662,-0.010381109,-0.039121248,-0.02228313,0.007609234,-0.025526874,-0.04170552,-0.023049647,-0.022269696,0.0365974,-0.025379017,-0.015083804,0.0042325724,0.9311871,-0.020884758
TCGA-5M-AATE,0.7459469,0.009433605,-0.023859836,-0.0055623087,-0.022277908,-0.025627438,0.012168912,-0.01892444,-0.026454711,1.2864066,0.025704538,-0.013309464,0.27788913,-0.0042378344,0.04501939,0.010160416,-0.008190192,-0.011636891,-0.02806344,-0.008480391,0.9679451,0.014848703,-0.014075445,-0.032656975,-0.017544318,0.105593204,-0.023408093,-0.017022513,-0.011490071,0.58708686,-0.023000097,0.0046770517,-0.02941171,-0.011267719,-0.0327705,-0.027585786,0.46866637,-0.009115978,-0.039035663,-0.01697141,1.3029251,-0.028641002,-0.0151604265,0.09213324,-0.030268867,-0.034341287,-0.014467144,-0.019385241,0.0023888247,-0.012209322,0.017027006,-0.017876845,-0.024869513,-0.018459786,-0.013547555,-0.032257717,0.004251797,-0.011237193,-0.00095512334,-0.017129846,-0.010719653,0.045330048,0.81566125,-0.02197869
TCGA-A6-2671,0.7978577,0.07253986,-0.01491572,0.015377473,-0.028071191,-0.026760302,-0.023036532,-0.010990644,-0.029525358,1.2970963,-0.025674794,-0.0204391,0.34047753,-0.005143266,0.0013600225,-0.012060974,-0.019683246,-0.0029359146,-0.02347134,-0.0225234,0.9395843,-0.014705537,-0.021179132,-0.029177297,-0.0046623256,0.21021464,-0.016436603,-0.0143787,-0.016303714,0.4953384,-0.03756217,-0.013970826,-0.031571366,0.0029574127,-0.016129065,-0.013212012,0.43936408,-0.015118618,-0.04451467,-0.012596041,1.3029108,-0.024823036,-0.025409997,-0.0017427676,-0.019286335,-0.014643808,-0.02125565,-0.016311465,0.011573791,0.059900388,0.03532913,-0.025681851,-0.028993392,-0.004163198,-0.01341478,-0.031401373,-0.008430502,-0.02115002,0.05938921,-0.0142605165,0.008040981,0.0028255633,0.76362836,-0.03462644
TCGA-A6-2672,0.77889264,-0.022755371,-0.032735843,0.0010859747,-0.020314965,-0.022829521,-0.0055941334,-0.016778547,-0.016326608,1.3406992,-0.016008286,-0.031290337,0.44761235,-0.016186137,0.009211329,-0.032651946,-0.018318802,-0.014791614,-0.032707296,-0.024102027,1.0409015,0.032134883,-0.022694193,-0.04819109,-0.03297808,0.037618726,-0.034781862,-0.01701247,0.0046702563,0.5866701,-0.025875703,-0.044480167,-0.03779161,-0.013263321,-0.029154304,-0.022768326,0.44792905,-0.024137113,-0.026776198,-0.015577183,1.3931402,-0.02297502,-0.024132725,0.042667363,-0.028875504,-0.012265678,-0.026485316,-0.005371675,-0.011559447,-0.012026398,0.00061386824,-0.06126973,-0.040378563,-0.02932795,-0.028527802,-0.04259527,-0.025246875,-0.016279332,0.041509524,-0.020994954,-0.032068696,0.038156755,1.0254451,-0.035146464
TCGA-A6-2675,0.632188,0.005755225,-0.008690314,-0.00724011,-0.010681054,-0.016389502,-0.0027172351,-0.017079331,-0.015040045,1.0342592,-0.02491474,-0.008770088,0.2440836,-0.015763264,0.052180886,-0.011246592,0.015561737,0.00957876,-0.030553589,-0.01220193,0.7613446,-0.0048217727,-0.011124086,-0.022194099,-0.009767773,0.121267766,-0.023950685,-0.0043757083,-0.011417836,0.47762614,-0.022506965,-0.017201584,-0.025127154,0.0028070374,-0.020689886,-0.01637522,0.3845154,-0.004762898,-0.018563282,-0.01130883,1.0490501,-0.0068882015,-0.014610107,0.00918794,-0.023530325,-0.0121901175,-0.011696843,0.0042128763,-0.023031062,-0.0058057946,-0.0040583983,-0.018063355,-0.012288606,-0.015579113,-0.0061965967,-0.024504818,-0.01162505,-0.01684171,-0.0053937007,-0.016427021,-0.0053154957,0.06908269,0.68403196,-0.01854635
TCGA-A6-2677,0.8447516,0.009032897,-0.024023306,-0.018035606,-0.030902982,-0.039239537,-0.023833405,0.009631267,-0.012616847,1.259469,-0.0057389503,-0.017117826,0.48074815,-0.0058632535,0.049014788,-0.023655158,-0.0129785575,-0.012994867,-0.03390275,-0.01907716,0.87054193,0.07856545,-0.028835736,-0.02178396,-0.0133703705,0.24593118,-0.03571496,0.00713701,0.001216043,0.5415223,-0.03394334,-0.03405042,-0.024108976,-0.017428763,-0.03766472,-0.024307415,0.5655166,-0.02526182,-0.024924703,-0.005131472,1.3177234,-0.02775648,0.08869728,0.046507385,-0.030409662,-0.019691339,-0.014418558,-0.011001821,-0.016433422,-0.016153928,0.016833328,-0.04894513,-0.0299608,-0.03279221,-0.026854414,-0.046814427,-0.025741678,0.05809017,-0.004092114,-0.020600561,-0.018674525,0.059431348,0.7788367,-0.024255829
