patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3C-AAAU,-0.007904561,0.5621543,1.3378359,0.045869034,-0.009655151,0.2812354,-0.008419962,-0.010367325,-0.0007595676,-0.007094281,-0.012995898,0.026878143,-0.011279084,0.07120871,-0.034641795,0.025681619,-0.022389306,-0.008645657,-0.008358733,-0.058107987,-0.010403256,-0.030342087,0.006730212,-0.006274012,1.1199307,-0.02314246,-0.014814799,-0.015286075,-0.010208487,-0.019613625,-0.0018623613,-0.04990983,-0.015526891,-0.012904721,-0.039541893,-0.031128159,-0.060455382,-0.011107946,-0.01741631,-0.015311847,0.61137336,-0.02222367,-0.014653543,0.164435,-0.016608883,0.1894533,0.1678257,-0.01926739,0.026882185,0.1901803,0.12636673,-0.023811793,-0.0048154583,-0.007454566,-0.012350525,-0.018356917,0.011506246,0.024850003,-0.03510403,-0.014759516,-0.020566331,0.006280903,-0.04184054,0.0561983
TCGA-3C-AALI,-0.00064337184,0.4945045,1.3159993,0.017517895,-0.0037137235,0.19877596,-0.009907701,-0.013361368,-0.013495181,-0.017572036,-0.020649485,-0.002079624,-0.014474363,0.026847802,0.0034839902,0.08379526,-0.017114352,-0.008429328,-0.021336108,-0.052284338,-0.015263755,-0.020005142,0.02243917,-0.008301193,1.149342,-0.015263611,-0.020618599,-0.009555303,-0.01828422,-0.018511018,0.013079357,-0.06586817,-0.011651294,-0.005388135,-0.044715457,-0.02657151,-0.0696113,-0.012207572,-0.01422009,-0.020186502,0.61062944,-0.016507525,-0.010572373,0.17259192,-0.014744163,0.19067717,0.15927784,-0.017068995,-0.0067425477,0.18766998,0.04342877,-0.04326609,-0.011715568,-0.020388432,-0.0087566925,-0.027917944,-0.014215339,-0.0078173075,-0.034636088,-0.02306468,-0.020560674,-0.0071806954,-0.03918247,0.14980805
TCGA-3C-AALJ,-0.0072100274,0.60618556,1.3125811,0.026764076,-0.013749771,0.2256011,-0.012411198,-0.020091746,-0.009636079,-0.013771134,-0.015228838,-0.015617599,-0.009502242,0.019164022,-0.035362493,0.01380306,-0.013945421,-0.006430529,-0.018502103,-0.049493693,-0.00819706,-0.034289278,-0.011641359,-0.008523396,1.1382849,-0.016919691,-0.012854224,-0.012311842,-0.019629441,-0.01753385,0.041424595,-0.06293601,-0.010731392,-0.015551833,-0.048713226,-0.018430801,-0.069578156,-0.01852612,-0.02205105,-0.0165387,0.6211858,-0.013799791,-0.014509791,0.1583313,-0.016947486,0.19097689,0.14622083,-0.02649576,-0.012238894,0.18175167,0.05869144,-0.043052886,-0.005672833,-0.02824277,-0.01691924,-0.024987722,-0.021700101,-0.01267197,-0.03900019,-0.021267062,-0.007030893,-0.013199421,-0.042324867,0.12807368
TCGA-3C-AALK,-0.008321423,0.58051825,1.2749566,0.001499757,-0.012032179,0.16373368,-0.0128497295,-0.01383012,-0.0051002624,-0.010188834,-0.011534534,-0.0033318736,-0.012221394,0.011642752,-0.030424833,-0.00067792274,-0.013164867,-0.0103557035,-0.02309275,-0.051617853,-0.009532087,-0.028690882,-0.006408152,-0.0056853117,1.1744326,-0.015852105,-0.015472997,-0.019487578,-0.0033067134,-0.036144275,0.022794196,-0.055250697,-0.015963482,0.006114573,-0.04505509,-0.019104918,-0.06746832,-0.013701792,-0.0122528635,2.0133099e-05,0.55590576,-0.022933628,-0.013554957,0.1963645,-0.0038855886,0.24451011,0.068643294,-0.013956359,-0.017510483,0.21712309,0.09533249,-0.03770706,-0.010109189,-0.012751486,-0.007319141,-0.022917705,-0.013845379,-0.016593019,-0.04376158,-0.022398617,-0.024944305,-0.011090303,-0.04122982,0.042635947
TCGA-4H-AAAK,-0.011943327,0.47388953,1.1378742,0.08358237,-0.010401941,0.15889032,-0.008654745,-0.010885253,0.011584958,-0.011892917,-0.013372319,-0.002690008,-0.010068938,0.029047092,-0.028124217,-0.011933373,-0.010278649,-0.01435081,-0.012807462,-0.04286551,-0.009599637,-0.023507599,-0.014074892,-0.0032236944,1.0816331,-0.022873519,-0.026768569,-0.015869783,-0.016337829,-0.030060917,0.05611149,-0.048740238,-0.010923175,-0.010146257,-0.032881476,-0.013737258,-0.06158881,-0.00936414,-0.013573965,0.0062664067,0.46793413,-0.014356902,-0.011109745,0.22238587,-0.00917533,0.16860205,0.16756703,-0.004329691,-0.00819962,0.25319836,0.10221722,-0.029578065,-0.009360542,-0.015774114,-0.005538582,-0.027280249,-0.009780054,-0.009418967,-0.034876265,-0.017209426,-0.026973296,-0.00087656616,-0.03993179,0.001463229
TCGA-5L-AAT0,-0.0053537562,0.50988555,1.1800656,0.07894999,-0.009211592,0.20305413,-0.012980105,-0.011609065,0.009249068,-0.0066566966,-0.008415908,-0.0058776885,-0.019251246,0.0045191655,-0.02428596,-0.009985573,-0.010172012,-0.0075575183,-0.012589506,-0.0417097,-0.003971872,-0.021824844,-0.00958742,-0.0013936594,1.0397514,-0.0146823535,-0.023169328,-0.008752143,-0.010739543,-0.032479174,0.053039137,-0.04935893,-0.012309926,-0.0016045307,-0.034783177,-0.026835173,-0.06068363,-0.010320403,-0.013865712,-0.00522457,0.49655783,-0.012977538,-0.014034955,0.20666331,-0.009138305,0.18445599,0.09344802,-0.011749186,-0.0059487615,0.27207693,0.06655066,-0.026246367,-0.010975346,-0.014842441,-0.0004138304,-0.018739427,-0.0065586045,-0.010126398,-0.029878587,-0.012508082,-0.022206657,-0.007882791,-0.029720843,0.016002024
TCGA-5L-AAT1,-0.004677191,0.5290383,1.2995875,-0.0021566967,-0.012825608,0.18647054,-0.006674049,-0.012984934,0.00053642597,-0.006216276,-0.010392437,0.015501486,-0.008642751,0.0016860233,-0.025055947,-0.0009388805,-0.008246084,-0.0068829725,-0.014794789,-0.050906777,-0.007916395,-0.027941078,-0.0003315613,-0.0046596774,1.1506466,-0.015034061,-0.016995765,-0.014299973,0.0010021925,-0.0410899,0.053154156,-0.052463517,-0.016497882,0.016664626,-0.03959745,-0.025030093,-0.07062087,-0.011658106,-0.004070668,-0.002383147,0.568455,-0.014868716,-0.022133518,0.20366383,-0.008128512,0.14235985,0.16158925,-0.01084344,-0.019278403,0.23236427,0.05290997,-0.037556477,-0.010207563,-0.01667713,0.002869293,-0.02418367,-0.012159063,0.0003539275,-0.034968764,-0.018370863,-0.021873984,-0.007371554,-0.044922873,0.031636972
TCGA-5T-A9QA,-0.010154698,0.6433797,1.5282809,-0.008362254,-0.018042661,0.1773794,-0.018068852,-0.024726724,0.001268456,-0.030375088,-0.022364054,-0.009753477,0.0009741988,0.030129544,-0.047864653,0.0055766446,-0.016748916,-0.014342396,-0.028565481,-0.06776032,-0.019392166,-0.045518104,0.01081674,0.011198422,1.3386886,-0.027404029,-0.021547679,-0.020871267,-0.016055403,-0.036767215,0.020369388,-0.08511489,-0.022063157,-0.012582973,-0.057054542,-0.011491798,-0.08326567,-0.016626377,-0.021245439,-0.024770528,0.65021604,-0.028901067,-0.020997006,0.15251184,-0.020599995,0.27870724,0.13799027,-0.027522016,-0.025168482,0.22565544,0.07581266,-0.058991708,-0.027077371,-0.014999945,-0.02262036,-0.026062373,-0.022783717,-0.0031874145,-0.060802884,-0.024838356,-0.031672712,0.0022693095,-0.06517549,0.040284276
TCGA-A1-A0SB,0.016541773,0.54617065,1.3843673,0.031412717,-0.010864345,0.010139819,-0.0068641957,-0.020197107,0.030988295,-0.014593247,-0.011205775,-0.0019791815,-0.01336552,-0.0022637257,-0.03648668,-0.010182601,0.047293838,-0.016474362,-0.011832609,-0.056679517,-0.020925913,0.013593297,-0.020060066,0.079683654,1.2516098,-0.016412415,-0.012170522,-0.0062875585,-0.014463931,-0.030036636,0.056093868,-0.042910196,-0.014172704,0.047450796,-0.039728217,-0.010171261,-0.05003132,0.092120916,-0.009228138,-0.0070794,0.65600693,0.066236846,-0.015610063,0.19553143,-0.009850004,0.2727909,0.0121126715,-0.012688344,0.008141033,0.24840875,0.21015027,-0.027431032,0.033011876,0.022072691,0.0006246439,-0.020815179,-0.012076927,0.005442282,-0.025002029,-0.01188804,-0.020481875,-0.018475063,-0.03760346,0.089707404
TCGA-A1-A0SE,-0.020957055,0.5024899,1.1901467,-0.0007397648,-0.011855771,0.12060231,-0.011617194,-0.01029508,-0.004615985,-0.0149620725,-0.001723324,0.012600219,-0.011150638,0.014202956,-0.029095959,0.00094911316,-0.014163867,-0.0087145725,-0.0143820215,-0.052670155,-0.011279298,-0.018972702,0.0058123646,0.02068099,1.0797486,-0.017827997,-0.018572664,-0.005935371,-0.011935233,-0.029894982,0.09890331,-0.04403855,-0.01304903,-0.009824202,-0.030725237,-0.029704647,-0.06539261,-0.008785883,-0.01348551,-0.0063509303,0.5389528,-0.010156716,-0.008858807,0.21787623,-0.013993997,0.24121648,0.1072976,-0.02233878,-0.005916751,0.25605482,0.07907528,-0.020183688,-0.009975314,-0.013689585,-0.0062844446,-0.018647825,-0.009043463,-0.006303505,-0.039588254,-0.014032707,-0.022026502,-0.008818156,-0.038933285,0.03170646
