patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-AB-2805,0.63805175,-0.026823996,0.05767657,0.013596084,-0.012930959,-0.021657122,-0.02307838,-0.026792675,-0.018510988,-0.018470498,-0.028844832,0.7527039,0.54601693,0.009698206,-0.007899094,-0.084544554,-0.009686479,0.043540467,0.006346411,-0.02211943,0.7033667,-0.025670137,-0.04083758,-0.021630831,-0.04787156,1.2220054,-0.01798975,-0.008511839,-0.020912753,0.7729856,-0.020427197,-0.017751703,0.2835614,0.065532885,-0.019700559,-0.0118462015,-0.021907156,-0.004243218,-0.028611965,-0.026339842,0.12215546,0.007814805,-0.016935883,-0.02066424,0.01778752,-0.020377465,-0.016090332,-0.017827809,-0.029559921,1.474905,-0.015474825,-0.014477381,-0.022849081,-0.0044795554,-0.0147639355,-0.02606761,0.7103157,-0.053458385,0.014647714,-0.022413423,-0.024233945,1.1322662,-0.023778055,-0.021113267
TCGA-AB-2806,0.71026635,-0.06964963,0.013202109,-0.014601559,-0.023134358,-0.013595423,-0.011288408,2.5369227e-05,-0.013870154,0.0901858,-0.041165184,0.2610469,0.4366877,-0.004305434,-0.03968445,-0.06967159,0.00932486,-0.06849338,-0.025069108,-0.0076111946,0.5361547,0.00695134,-0.0074672555,-0.008248409,-0.050121177,0.7162615,0.008784201,0.021114172,-0.011444168,0.6269181,0.0674941,0.084618986,0.067978755,-0.006655881,-0.025228158,-0.008308987,-0.01058796,0.008953133,0.13200101,-0.027616933,0.35136944,-0.007643288,0.026552001,0.0482536,-0.033778835,0.03629498,-0.017275337,-0.020862874,-0.013728058,1.1844258,-0.0064615146,-0.02336811,-0.00748722,-0.008449914,-0.032927725,0.12835212,0.43286347,-0.018571772,0.03526134,-0.011809669,-0.029393537,1.0301824,0.08928427,0.1290637
TCGA-AB-2808,0.70078164,-0.05637853,0.009765952,-0.015523826,-0.01632388,-0.0067965505,-0.020487625,-0.00979804,-0.027337093,0.05399291,-0.050901394,0.45296502,0.49911126,0.023979142,-0.024627399,-0.06983377,0.04340124,-0.04301052,-0.012360692,-0.01007478,0.59567,-0.0048299846,-0.029669005,-0.021263951,-0.057653375,0.92162573,0.0038476447,0.017736092,-0.016395522,0.823257,0.05886862,-0.014403629,0.20910794,0.012633119,-0.018586507,-0.016493678,-0.010659508,0.007212135,0.0005598393,-0.032087363,0.23930976,-0.01767463,-0.014946941,-0.020305155,-0.01819651,-0.006733834,-0.017925374,-0.014897031,-0.018675067,1.4427986,-0.008528754,-0.025880426,-0.021449475,0.008378393,-0.021711927,-0.0005525581,0.5397866,-0.03772497,-0.0024195374,-0.018042462,-0.036259066,1.1648502,0.038839363,-0.011616029
TCGA-AB-2810,0.56442237,-0.049922995,-0.01454216,0.0024480443,-0.015888248,-0.014927259,-0.024179252,0.07730666,-0.018732222,0.2763808,-0.050682016,0.53129524,0.36298603,-0.0073309233,-0.018580955,-0.08890761,-0.003651522,-0.013302401,-0.021682227,-0.022465141,0.6402709,-0.03919469,-0.055792615,-0.012143642,-0.0468639,0.78728855,-0.030245021,0.008832051,-0.011817981,0.8042313,-0.008723676,-0.012533279,0.24243583,-0.006139593,-0.009337548,0.0071520493,0.08877363,-0.024855299,-0.015130416,-0.007926593,0.19555444,-0.0033705756,0.06449975,-0.021165358,0.039575715,-0.022453625,-0.018420367,-0.02433914,-0.019167561,1.2724571,-0.031274635,-0.015256649,-0.022136502,-0.01906508,-0.009609867,-0.011878874,0.45584047,-0.024021648,-0.003147651,-0.025341997,-0.019660767,1.0600659,0.009292664,-0.021596476
TCGA-AB-2811,0.46156722,-0.003674978,0.014722378,-0.0039282707,-0.018971657,-0.012670532,-0.021726519,-0.010384234,-0.016879896,0.018468693,-0.040374577,0.45608175,0.439437,0.10824263,-0.0028682041,-0.067091346,-0.013554586,0.027244436,-0.014447933,-0.01828555,0.5826094,-0.024770893,-0.026652556,-0.014809216,-0.03324485,0.9730383,-0.024647247,0.0060071414,-0.013021659,0.71131575,-0.00612709,0.022038162,0.32184032,-0.008937608,0.046962507,-0.0033891476,0.0029874211,-0.015935298,-0.037435822,-0.015461935,0.13596281,-0.008320715,0.019272067,-0.023880538,0.012213519,-0.019257367,-0.02094308,-0.017586084,-0.019717686,1.286313,0.013566647,-0.0025647655,-0.012183093,-0.0063168164,0.019309381,-0.0033587664,0.45416287,-0.028746411,-0.008751531,-0.02826222,-0.021900149,0.64005244,0.01904746,-0.020270592
TCGA-AB-2812,0.61091703,-0.03771633,-0.01204223,-0.0077557755,-0.021390684,0.010514417,-0.023429574,-0.0128310695,-0.03410305,0.05567407,-0.045266982,0.587986,0.43486524,-0.014285103,-0.014266025,-0.08186437,0.0107256025,0.06204215,-0.017439015,-0.020773336,0.7636225,-0.022976572,-0.03761679,-0.015456632,-0.0599792,0.8102901,-0.030978456,-0.0034970562,-0.011514436,0.8028686,-0.021635694,-0.017329339,0.35474256,-0.0114202285,-0.013150492,-0.015572481,0.022641864,-0.0066343546,-0.019854516,-0.016908249,0.23225397,-0.011421528,0.04446528,-0.0041775303,-0.0034674266,-0.017461946,-0.018397756,-0.022323042,-0.017493734,1.2234014,-0.022210578,-0.021631569,-0.013965922,-0.014425786,-0.0012273649,-0.02048115,0.56793547,-0.03469412,-0.015865017,-0.019068616,-0.012270463,0.9833181,0.016349422,-0.005958974
TCGA-AB-2813,0.5767705,-0.016516538,-0.010982014,0.03003533,-0.0104074925,-0.012333555,-0.02928527,-0.022684261,-0.023959452,-0.02194456,-0.02825915,0.63525736,0.52535313,-0.010765474,-0.0016155625,-0.058888823,-0.0138062695,0.02430345,0.07678325,-0.01715553,0.6610673,-0.020484505,-0.00822302,-0.01568981,-0.04453923,1.1015332,-0.019587757,-0.025020115,-0.027874043,0.6834101,-0.021522745,-0.019537192,0.26103494,0.009931335,-0.020648463,-0.0126184095,-0.020083964,-0.016766358,-0.0152176805,-0.016214576,0.05362032,0.00045248886,-0.021690551,-0.017386839,-0.00628236,-0.01853765,-0.017641935,-0.017419884,-0.02548099,1.3626902,-0.008200997,0.03968973,-0.013751633,-0.0027668502,-0.019885086,-0.011065977,0.7132789,-0.04606072,-0.016192252,-0.016896883,-0.03100005,0.93465316,-0.023445832,-0.014661426
TCGA-AB-2814,0.6910212,-0.04262218,0.020221824,-0.009292882,-0.02518566,-0.013354404,-0.015144589,-0.019266497,-0.025523089,0.018750098,-0.034317583,0.58839,0.3949626,0.0005753264,0.04095118,-0.071658656,0.02058383,0.020173226,0.06310408,-0.00897052,0.67060435,-0.0025433442,-0.043160677,-0.014924995,-0.045917414,1.1319007,-0.029313693,0.004287907,-0.022231443,0.8006002,-0.020126123,-0.022795198,0.20948142,-0.005595114,-0.019942898,-0.013466954,-0.020598738,-0.010410884,-0.021892542,-0.023696102,0.34383592,-0.021682221,-0.012780854,-0.019033361,0.04538642,-0.008727263,-0.02252736,-0.013834478,-0.028529802,1.3704839,-0.020055577,-0.010219269,-0.020547695,-0.0117427,-0.01766351,0.070737846,0.5875046,-0.03818071,-0.015140464,-0.013477503,-0.034445163,1.120018,-0.013350328,-0.017721517
TCGA-AB-2815,0.6139271,-0.032152656,0.14929959,-0.01095958,-0.0061813025,-0.018967144,-0.027296346,-0.017721877,-0.019158127,-0.018701315,-0.052051514,0.49320203,0.511887,-0.00914541,-0.01762604,-0.05430297,-0.020088188,-0.042073496,-0.014770766,-0.012092737,0.5383317,-0.009208287,-0.03781255,-0.0101128025,-0.056137107,0.8672255,0.14666511,0.008448106,-0.01903796,0.7367271,-0.002722993,0.012995834,0.23829803,-0.01305124,-0.00715039,-0.018691799,-0.018235156,-0.0068870597,-0.0072778785,-0.007921636,0.20833963,-0.01512078,-0.012817532,-0.04144017,-0.027710898,-0.011786535,-0.022911208,-0.016325135,-0.014006324,1.3021129,-0.010728051,-0.016436037,-0.022611957,0.046400346,-0.026837014,-0.010200307,0.448358,-0.029872563,0.037193477,-0.018473867,-0.012526326,0.91275495,0.07848348,-0.007923617
TCGA-AB-2817,0.5820089,-0.028272927,0.013087414,-0.010927036,-0.0017144694,-0.02349718,-0.024549896,-0.024204526,-0.017473562,-0.022705164,-0.02986882,0.70698464,0.42160833,0.028217763,-0.014206791,-0.072974,-0.023100534,-0.012504892,0.008894682,-0.014445288,0.6862562,-0.00845466,-0.028077357,-0.008560393,-0.05255575,1.0736699,0.0051188073,-0.007870121,-0.016821478,0.755651,-0.0119958455,-0.0067353123,0.23746637,0.08814642,-0.014453224,-0.015208371,-0.015475492,-0.016212745,-0.016941478,-0.010704782,0.16148427,-0.017335005,-0.01684757,-0.025443004,-0.008502174,-0.020973928,-0.016791444,-0.0049969465,-0.018791886,1.4846087,0.027373498,0.020137224,-0.029100273,0.01998191,-0.023275957,0.031258598,0.7732665,-0.043889552,-0.01828776,-0.016917972,-0.026424555,0.97984505,-0.018268796,-0.01795044
