patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-AB-2805,0.85838175,-0.04883868,-0.030015562,-0.005240562,0.23824957,0.27148843,-0.029505808,0.0004318077,-0.008887455,0.036527097,0.07081928,-0.03383766,-0.017601069,-0.009107818,0.036572687,-0.00974033,-0.0188643,0.0056702076,-0.011200021,0.013413925,0.1671855,-0.01116146,-0.013315571,-0.14355785,-0.014145987,-0.015913125,-0.0060806014,-0.0331989,-0.031561803,0.2849262,-0.019020999,-0.022108031,-0.02067672,-0.013108336,-0.025196675,0.040942315,-0.065951854,-0.016056353,-0.00929036,0.12593648,0.18736961,-0.026496178,-0.01993953,0.45159942,-0.029858321,-0.017700229,0.9076335,-0.03615365,-0.019297954,-0.010819841,-0.025518551,-0.13312061,-0.14323819,0.32548648,-0.031010248,-0.061692275,-0.004725931,-0.036916,0.059856664,-0.028157271,0.9417089,-0.0062570563,-0.022285629,1.3044957
TCGA-AB-2806,0.8548963,-0.037448354,-0.044614747,-0.011521332,0.17338066,0.23337623,0.47770807,0.015296103,0.047813386,-0.0012625605,-0.014274405,-0.076311134,0.05540766,-0.014234488,0.04930733,0.026636258,-0.0259612,0.014179921,-0.01059744,-0.022623267,0.013031157,0.025508901,0.02384896,-0.12378714,-0.025236795,0.021876026,-0.030361278,-0.04991667,-0.026528642,0.34429333,-0.0137085095,0.05951225,-0.023528706,-0.0061678127,-0.020041987,0.019902054,-0.026522558,-0.009562438,-0.027314227,-0.021141473,-0.023812931,-0.02424,0.01264459,0.520063,-0.015752207,-0.00992167,0.6043397,-0.027742336,-0.0147938365,-0.014408567,-0.022849454,-0.10513492,-0.10599713,0.44229257,0.0042891847,-0.043095067,-0.0068916115,-0.016366152,-0.020075124,-0.009309933,0.8663752,-0.011454074,-0.02856013,1.009148
TCGA-AB-2808,0.8813052,-0.039409243,-0.032685153,-0.01351129,0.09574697,0.31821182,0.2852691,0.013100579,0.0700971,0.018229727,0.08379686,-0.061730582,-0.013369938,-0.026184257,0.0066729146,0.007926842,-0.024094483,-0.019009713,0.006425615,-0.01885933,0.024809247,0.021103509,0.02531637,-0.14113909,-0.021287268,0.0741351,-0.03518824,-0.0409318,-0.034931157,0.30705774,-0.007424748,-0.0047095404,-0.022314297,-0.0012318534,-0.011946971,0.07167909,-0.05859546,-0.016427431,-0.024567218,-0.0058185,-0.013959335,-0.018150209,-0.015155461,0.49971288,-0.02925546,-0.011113008,0.8083159,-0.026116228,-0.021468231,-0.020547252,-0.028260231,-0.11756484,-0.11207378,0.4679132,0.010533488,-0.050606012,0.03820809,-0.017849836,0.003936566,-0.014689121,1.0261959,-0.00879089,-0.023099408,1.2118856
TCGA-AB-2810,0.7042148,-0.062141206,-0.029184652,-0.021140948,0.2643488,0.15847027,0.18425022,-0.012548127,0.12487839,0.009781386,0.17478803,-0.04754345,-0.013800993,-0.01136796,0.044939972,-0.019014439,-0.022244714,-0.011894119,-0.022647124,-0.0223952,-0.007129156,-0.024081886,0.0038474482,-0.1385681,-0.021086194,-0.0056211315,-0.037272062,-0.023217108,-0.029963268,0.28714836,-0.018928098,0.024215534,-0.026909228,-0.014424545,-0.010643022,-0.003603714,-0.052213483,-0.028845862,-0.0188265,0.0027451843,0.0435287,0.019209584,-0.024723146,0.49787116,-0.024618767,-0.008622151,0.81477493,-0.03662108,-0.020410772,-0.008030423,-0.015506389,-0.13007857,-0.1312232,0.29367945,-0.012979949,-0.048367493,-0.025468253,-0.016404312,-0.009977024,-0.023416184,0.7712041,0.015588824,-0.026567595,1.0982713
TCGA-AB-2811,0.74302137,-0.02477343,-0.014249558,-0.011300415,0.15938744,0.21704853,-0.01590451,-0.00816278,0.09459372,-0.00019197701,0.046058245,-0.035258114,0.011734043,-0.013000171,-0.007890912,-0.01650203,-0.015419149,0.014580632,0.0022578929,-0.024747882,0.091051176,-0.014006991,-0.01590811,-0.08570351,-0.0106955925,-0.033279758,-0.014724335,0.050846588,-0.020050617,0.16787162,-0.014367205,0.021961737,-0.02258807,-0.011090437,-0.023820886,0.08988513,-0.016656741,-0.014863801,0.04265655,0.28936768,0.09858583,-0.013527601,-0.014407894,0.3604073,-0.029594982,-0.016285768,0.7560078,-0.015227204,-0.021326322,0.0019172197,-0.012508288,-0.08861199,-0.09045565,0.16716205,-0.014208251,-0.032994695,-0.018278236,-0.011087328,-0.012352947,-0.029409196,0.8313801,-0.016772216,-0.017824717,1.0969887
TCGA-AB-2812,0.69008493,-0.035876423,-0.03584268,-0.015335877,0.22159126,0.23925894,0.11306504,-0.0136710005,0.09171887,0.008581964,0.05742184,-0.044250496,-0.0104662385,-0.014535934,0.04350976,-0.006145731,-0.012856384,0.017257145,-0.006410093,-0.01697313,0.050157715,-0.0009514089,0.0016181868,-0.11153218,-0.018276216,-0.0062475214,-0.030619979,-0.026027748,-0.022934254,0.24830309,-0.009558318,-0.010022169,-0.024699189,0.0019462164,-0.009627609,0.035244104,-0.047775738,-0.019796226,-0.035360023,0.16994974,2.6440248e-05,-0.029306086,-0.007121121,0.40925676,-0.021123521,-0.008050331,0.80877495,-0.045680113,-0.012802638,-0.023618657,-0.0143236,-0.12211202,-0.119309515,0.4124478,0.010786898,-0.051779944,-0.02362655,-0.024989085,-0.014758142,-0.019177316,0.75610507,-0.020883793,-0.01607695,1.2685552
TCGA-AB-2813,0.74124175,-0.040615488,0.057307474,-0.009804732,0.3559488,0.33439875,-0.028696049,0.0068182643,-0.013611354,0.007785554,-0.000686683,-0.036503028,-0.008391114,-0.014691328,-0.017755039,0.035960704,-0.013908943,0.012062844,-0.013383921,-0.024799729,0.13857149,-0.0116314,-0.012198903,-0.11737344,-0.010655416,-0.022700205,-0.024388652,-0.01353956,-0.019544616,0.115584426,-0.018344337,-0.016522212,-0.014891171,-0.0071456144,-0.011701914,0.056225684,-0.048207723,-0.012832164,0.015002769,0.20913398,0.14822274,-0.023299245,-0.018743897,0.4777364,0.0053672884,-0.009351,0.9185733,-0.032792076,-0.022898776,-0.01410493,-0.020739872,-0.11950639,-0.122032255,0.13726561,-0.023153573,-0.03545488,-0.02778694,-0.024096884,0.09424533,-0.031778157,0.8448949,0.0033898512,-0.025195908,1.2551849
TCGA-AB-2814,0.79497266,-0.043431886,-0.034518696,-0.0066319825,0.19548279,0.32289362,0.029156841,-0.008190098,0.026383251,0.04267682,0.044993497,-0.04897073,-0.0018625326,-0.00972989,-0.00564328,9.3341805e-05,0.015854776,-0.0013104286,-0.01578313,-0.030417198,0.07314759,0.010632909,0.04612777,-0.12105255,-0.024678126,-0.017777234,-0.03644819,-0.013704899,-0.016298123,0.23192424,0.032355677,-0.018781792,-0.02877876,-0.0071892454,-0.021612931,-0.0016824431,-0.05879638,0.02020367,-0.0176613,0.029459694,0.011126707,-0.021790262,-0.011779384,0.51336277,-0.01874471,-0.014688054,0.8583013,-0.029070836,-0.02119822,0.012671846,-0.03525537,-0.1283912,-0.14042228,0.44644028,-0.013073641,-0.061627805,-0.034091983,-0.030330751,0.045914724,0.0039984346,0.8677033,0.048858657,-0.024081545,1.2796315
TCGA-AB-2815,0.6930671,-0.02834453,-0.02224301,-0.0044380156,0.10989521,0.20580614,0.023092493,-0.006419736,-0.009858763,0.040255345,0.059225462,-0.05157166,-0.012503393,-0.017153505,0.09301098,0.014597224,-0.027776137,-0.01021183,-0.0081075495,-0.02791361,0.04364939,-0.010852458,-0.024341088,-0.11158243,-0.020683348,-0.0040826476,-0.019532088,-0.021578003,-0.029891364,0.27799213,0.011665678,-0.009526378,-0.021619134,-0.011119164,-0.012084891,0.02908759,-0.048373118,-0.005874208,0.0011499478,0.059727497,-0.0021432084,-0.017793125,-0.014561451,0.46537572,-0.033366874,-0.01081785,0.69140315,-0.02129403,-0.0222603,-0.013823212,-0.025329802,-0.10095395,-0.09826882,0.37047455,-0.020772334,-0.04234603,-0.008452084,-0.020687716,-0.013934585,-0.017953865,1.0243001,-0.008204107,-0.019970138,1.2024465
TCGA-AB-2817,0.81074786,-0.047207102,-0.023545984,-0.015859697,0.28631312,0.26902252,-0.01791415,-0.01737651,0.019890748,-0.013348779,0.029073909,-0.046563342,-0.027644847,-0.02050504,0.053785335,0.04776763,-0.018258445,-0.009854322,-0.005553459,-0.0132664675,0.18645893,-0.012126867,-0.015771048,-0.1266916,-0.0072491276,-0.028948907,-0.022412287,-0.003998903,-0.014392523,0.23326163,-0.014248092,-0.02233423,-0.023907796,-0.014617084,-0.014261767,0.0367798,-0.053233456,0.0039421655,-0.006838571,0.29280853,0.0066760494,-0.013544048,-0.013485361,0.50519174,0.018267773,-0.020557381,0.9382944,-0.03208722,0.021028511,-0.017930195,-0.028956257,-0.12360889,-0.12029029,0.41094178,-0.020807557,-0.06332924,-0.031350285,-0.009140728,0.07392046,-0.023875456,0.89606607,-0.001274091,-0.028267775,1.3335935
