patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-CS-4938,-0.0058015,0.44957197,0.25271282,-0.052202847,-0.010584582,-0.014405055,-0.012330814,-0.010848186,-0.016068287,0.021119852,-0.014421242,0.28564316,-0.034849346,-0.020670176,-0.041931957,-0.007986052,-0.034635626,-0.041596375,-0.033865374,-0.0956503,-0.002824814,0.0022889627,0.8477834,-0.021428475,0.89590126,-0.0101924315,-0.014349495,-0.029126734,-0.02779686,-0.043213405,-0.027895326,-0.018980566,0.15911505,-0.006950267,-0.08237383,-0.03619302,-0.064794116,0.0005591487,-0.015253962,-0.023435576,0.8974331,-0.011593994,-0.017251804,-0.016058572,-0.011808315,0.7529613,0.50383264,-0.030523967,-0.013024004,0.08971508,0.014866821,-0.09223391,-0.013075221,0.069607526,-0.015833111,-0.0036325655,-0.01289937,-0.018602548,-0.0042920043,0.012703189,-0.021594198,-0.011141455,0.057543006,0.11582243
TCGA-CS-4941,-0.017709127,0.2358845,0.261498,-0.019263288,-0.010474602,-0.015270079,-0.015928682,-0.006501833,0.00064936257,-0.0039405013,-0.008557949,0.036674667,-0.04773757,-0.016331162,-0.04411943,0.04271078,-0.011510329,-0.044011362,-0.01819784,-0.09853081,-0.010016101,-0.020830149,0.8671902,-0.017764643,0.5903779,-0.01758271,0.03128066,-0.047471754,-0.015897408,-0.043165382,0.020095384,0.014653441,0.098431386,0.0034116856,-0.07964194,-0.026607921,-0.07432855,-0.0022177026,-0.0153618045,-0.014737273,0.9387216,-0.012325964,-0.027667305,-0.024030656,-0.03576548,0.7001965,0.39117783,-0.049982034,-0.018089708,0.14266527,-0.035068482,-0.057242744,-0.009871762,0.33172846,-0.013989307,-0.015698139,-0.019516805,-0.016643997,-0.017404312,-0.017828677,-0.019882623,-0.015390745,0.0072063077,0.03711687
TCGA-CS-4942,-0.01185861,0.4066671,0.18979695,-0.048318796,0.005900768,-0.0047009727,-0.012138826,-0.0143035455,-0.011131044,-0.011659976,-0.0215493,0.29554853,-0.044002037,-0.02659229,-0.03950385,0.009380054,-0.031877704,-0.04412204,-0.038078636,-0.10397501,0.011187518,-0.007602572,0.78739464,-0.016634291,0.8773801,-0.019858385,-0.012933876,-0.03016071,-0.02605271,-0.042433605,-0.024971582,-0.010386417,0.19638863,-0.0038915593,-0.07851975,-0.033974145,-0.06224258,0.015262558,-0.013139405,-0.017783415,0.8178148,-0.013830241,-0.018406488,-0.014231631,-0.014752286,0.7430483,0.48181385,-0.029718472,-0.01519076,0.08571901,-0.013845982,-0.09441068,-0.0130703105,0.05459241,0.015100538,-0.014045694,-0.012017781,-0.013705449,-0.01632286,0.006045578,-0.019022824,-0.01965178,0.043673005,0.101359725
TCGA-CS-4943,-0.014788777,0.41550544,0.20369118,-0.050680466,-0.01061715,-0.013048963,-0.012200691,-0.011644804,-0.00660103,-0.013981791,-0.014343725,0.2827603,-0.03914159,-0.029796138,-0.042203315,0.004111422,-0.053098734,-0.052235153,-0.03628242,-0.115819976,0.010650212,-0.008238165,0.78769004,-0.024637021,0.9311052,-0.017280595,-0.01638633,-0.033334114,-0.032969903,-0.021667274,0.045212302,-0.023459606,0.20228988,-0.014296373,-0.08202588,-0.03568391,-0.075116284,0.036390815,-0.028796617,-0.012291686,0.8096391,-0.016984478,-0.047722723,-0.014846228,-0.015086308,0.68734264,0.563411,-0.0376869,0.026861317,0.07601833,-0.022457305,-0.11001064,-0.018943494,0.03338826,0.00030765313,-0.0194543,-0.02279542,-0.024727877,-0.012801089,0.018580433,-0.010645623,-0.021087367,0.012635309,0.014157712
TCGA-CS-4944,-0.014264759,0.40033007,0.22403446,-0.04440526,-0.009342952,-0.009588788,-0.014306375,-0.008141049,-0.017178489,-0.002524204,-0.011380078,0.21462917,-0.039130494,-0.019887632,-0.035424232,0.00968688,-0.027031135,-0.041088827,-0.039142724,-0.087174505,0.01605108,-0.0074840663,0.7695483,-0.014062626,0.7786406,-0.0039364044,-0.0073701777,-0.01696385,-0.02786242,-0.036869355,-0.030012786,-0.011924302,0.16763338,-0.010485349,-0.07066901,-0.036845423,-0.050483845,0.0006576797,-0.017921316,-0.018079083,0.78172255,-0.011457255,-0.017663833,-0.014564609,-0.0065000616,0.67147124,0.50055504,-0.023791319,-0.006684432,0.06496341,-0.012955388,-0.076827936,-0.013832664,0.06592536,0.0042343508,-0.013848646,-0.013562494,-0.010366181,-0.0032793707,-0.0031472896,-0.011475072,-0.008284954,0.024732837,0.13681708
TCGA-CS-5393,-0.013153657,0.4124552,0.21140926,-0.04805863,-0.01495734,-0.00980073,-0.009524846,-0.008835487,-0.016659603,-0.0064425925,-0.01691328,0.28034663,-0.03807683,-0.021668432,-0.04086374,-0.009607632,-0.035205476,-0.039596565,-0.03589967,-0.09969351,0.010796287,-0.0027591297,0.8262091,-0.014772067,0.9037765,-0.020715326,-0.016700799,-0.01869994,-0.027124368,-0.03300836,-0.014145203,-0.015895385,0.14171666,-0.008202512,-0.07620532,-0.033291012,-0.061667286,0.058706045,-0.010852257,-0.011854119,0.8413884,-0.010871393,-0.01451008,-0.013772612,-0.0066633876,0.7737192,0.4641111,-0.031949714,-0.008995456,0.06970304,-0.0090378225,-0.08393778,-0.015087705,0.05990099,-0.009846643,-0.013714923,-0.011864727,-0.008889424,-0.017762844,0.032175675,-0.014021903,-0.015485934,0.038795874,0.05961574
TCGA-CS-5395,-0.008278744,0.26917565,0.23678619,-0.023703285,-0.005669076,-0.015130971,-0.013280894,0.012581266,-0.011431078,-0.007641739,-0.008801236,0.017438168,-0.04333094,-0.00995321,-0.037396442,0.028415551,-0.011318196,-0.03891876,-0.012953144,-0.078634456,-0.004281208,-0.009194944,0.6737398,-0.012920125,0.5457777,-0.011897061,-0.009193445,-0.027482413,-0.0143350465,-0.032954123,0.018059095,-0.011318837,0.04095903,0.028831366,-0.059720695,-0.027524631,-0.05785921,-0.012244598,-0.017780952,-0.011357602,0.7205983,-0.010474758,-0.0353653,0.004325445,-0.026539136,0.5150923,0.33160374,-0.041257933,-0.01171087,0.1312466,-0.016285315,-0.04270489,0.0004094594,0.18167973,-0.005850072,-0.013860296,-0.025876284,-0.016403561,-0.011137573,-0.01552641,-0.010809634,-0.01973778,0.0058934037,0.05661015
TCGA-CS-5396,-0.010209863,0.33259362,0.23799998,-0.050534192,-0.010010956,-0.017760847,-0.011237768,-0.011393148,-0.015500136,-0.008836303,-0.0075652106,0.23788771,-0.044673994,-0.01996112,-0.03995098,0.026120313,-0.03501081,-0.038538463,-0.037107527,-0.10342783,0.0047522765,-0.00832687,0.8109151,-0.014973606,0.85055995,-0.017288879,-0.008841363,-0.03162104,-0.028722314,-0.035300314,-0.019051274,-0.0101279,0.11909898,-0.013663767,-0.057782643,-0.03944883,-0.05443447,-0.0032993671,-0.014130948,-0.016815132,0.76593417,0.0075546885,-0.025872484,-0.015685763,-0.00823512,0.7194046,0.48787457,-0.026330411,-0.014497896,0.06660588,-0.008160615,-0.088292606,-0.013142275,0.10033406,-0.0167779,-0.020383015,-0.015329318,-0.020617068,-0.012692815,-0.0023571851,-0.014935752,-0.001397382,0.0015479194,0.07792915
TCGA-CS-5397,0.035100114,0.15104759,0.36220503,-0.028461372,-0.018423932,-0.017960314,-0.017777834,-0.00895463,-0.004868489,0.0045902943,-0.009687095,0.0002545747,-0.05469738,-0.015995452,-0.03647565,-0.0061953296,-0.0059096394,-0.048092335,-0.017253187,-0.10341047,-0.023122363,-0.016583527,0.9090475,-0.015149479,0.59834397,-0.020811372,-0.012385206,-0.0384645,-0.006281893,-0.041647047,0.008813919,-0.0063706543,0.11009839,-0.010544773,-0.07471823,-0.025992183,-0.08085329,-0.017660093,-0.024105044,-0.011548166,0.9223151,-0.011978677,-0.03755479,-0.020834662,-0.036423653,0.55738604,0.38171977,-0.04459715,-0.011261644,0.15398651,-0.02756769,-0.06304036,-0.011258572,0.29230464,-0.02421739,-0.01936626,-0.026039068,-0.018575836,0.009471515,-0.02825448,-0.02485964,-0.0057761823,0.026462812,0.11843896
TCGA-CS-6186,-0.0064882506,0.35743418,0.26090074,-0.024109233,-0.012215884,-0.010342903,-0.013355445,0.032682743,-0.01339629,0.018997962,-0.013671202,0.1337918,-0.056848057,-0.015800793,-0.033584345,0.0052928953,0.006092213,-0.041930787,-0.015964821,-0.093634546,0.0088543845,-0.025970582,0.826781,-0.0146014,0.66812825,-0.019293811,9.823358e-05,-0.029333867,-0.017014634,-0.049480148,0.073674485,-0.0070536924,0.11815867,0.030179536,-0.063269794,-0.032676253,-0.067056954,-0.009462601,-0.017066643,-0.0090395855,0.9924094,-0.009197153,-0.022109935,-0.011308203,-0.027406802,0.67813116,0.46607047,-0.042908326,-0.01915482,0.100646995,-0.036541842,-0.055524655,0.0004981067,0.3792205,-0.010827506,-0.025196366,-0.0052807536,0.021463381,-0.009020671,-0.00450013,-0.025268167,-0.016197136,0.019560082,0.01589519
