patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-CS-4938,-0.017256055,-0.005718043,-0.03203076,-0.020930333,-0.021252422,-0.024603188,-0.00538614,0.005258487,8.077826e-06,-0.024517309,-0.016428731,-0.042065367,-0.02007683,-0.020231077,0.055422172,-0.029785678,-0.02632822,-0.005836746,-0.010225993,-0.030308079,-0.014361626,0.32753515,-0.008824101,-0.026559321,0.49159002,-0.008889042,0.8251599,-0.01999329,-0.025734942,-0.03936882,-0.014019024,-0.04851259,-0.01651379,-0.07281527,-0.018324573,-0.017827857,-0.016660193,-0.014293563,-0.016530989,-0.013003272,-0.0149665745,-0.1449223,-0.01916983,-0.0069535933,0.006523699,0.1652258,1.104332,-0.021200307,0.27203286,-0.013574794,1.0689012,-0.014324101,0.10255457,-0.032425348,-0.012136541,-0.009191105,-0.007892101,-0.04972679,-0.011221555,0.32648534,-0.023339406,-0.016045706,-0.03505191,-0.012424875
TCGA-CS-4941,-0.009244114,-0.04141166,-0.021229077,0.012810537,-0.037468117,-0.014800983,-0.019128129,-0.0067817876,-0.051142313,-0.038816154,-0.006543029,-0.056289405,-0.012753508,-0.03185684,0.51626354,-0.028526172,-0.048634373,-0.004027944,-0.012820101,-0.031828437,-0.04569117,0.1772286,-0.049619555,-0.021171063,0.47990793,0.2166385,0.7411599,-0.018142778,-0.01617214,-0.07645397,-0.035990395,-0.025991261,-0.011489452,-0.047678214,-0.014744652,0.00070721377,0.016136331,-0.034104876,-0.01843808,-0.02084298,0.04609635,-0.12332448,-0.016107956,0.012078017,-0.0072361054,0.040294558,1.1591773,-0.021149725,0.13121822,-0.00071322825,1.1221788,-0.032855947,0.0062313993,-0.038756277,-0.05590345,0.009879291,-0.024277799,-0.050570704,-0.015961632,0.2858451,-0.04204619,-0.042321138,-0.0146617275,-0.020209553
TCGA-CS-4942,-0.018285463,-0.008071221,-0.027384095,-0.024575755,-0.024084633,-0.025024928,-0.017990913,0.0038763466,0.00018024724,-0.016120953,-0.014412089,-0.05539512,-0.016789999,-0.026936926,0.09254287,-0.024631495,-0.034025818,-0.012194393,-0.011867746,-0.025506314,-0.012013044,0.35051864,-0.013715051,-0.029109675,0.4759835,0.004720486,0.7337638,-0.017934993,-0.024265852,-0.04245875,-0.014479907,-0.047812186,-0.021732207,-0.076803535,-0.026988948,-0.020498093,0.0095782885,-0.0018423712,-0.010861425,-0.01771942,-0.011113638,-0.14351162,-0.018529966,0.0044702142,0.0005713153,0.18041624,1.0301884,-0.012783396,0.23959154,-0.010953984,1.004461,-0.02169386,0.10452247,-0.03787694,-0.021080762,-0.015365198,-0.007246726,-0.05255927,-0.028669778,0.2624054,-0.026938958,-0.022171818,-0.035976756,-0.014297994
TCGA-CS-4943,-0.02268435,-0.017999193,-0.028881859,-0.031819087,-0.027263435,-0.0332724,-0.0034161855,0.009009326,-0.012335632,-0.030452656,-0.0129652675,-0.06082413,-0.018080367,-0.024061816,-0.0025832132,-0.027132642,-0.031633485,-0.01110735,-0.008845398,-0.03666347,-0.022699818,0.33879352,-0.026605576,-0.036064483,0.5139462,-0.0046897028,0.7390653,-0.024140669,-0.029711626,-0.061021045,-0.026796857,-0.041820128,-0.016367875,-0.08697121,-0.029926484,-0.032451898,0.003131113,-0.01140028,-0.018462837,-0.02961317,-0.013574557,-0.15714319,-0.022907648,-0.0034221248,-0.008911905,0.18713015,0.9688941,-0.018676162,0.1389303,-0.009504357,1.0573962,-0.029717356,0.14532788,-0.05281212,-0.023014346,-0.009990023,-0.011677016,-0.06586029,-0.03476689,0.24881281,-0.03078425,-0.033650838,-0.036005348,-0.016400062
TCGA-CS-4944,-0.013256536,-0.01158721,-0.022524005,-0.019611968,-0.020960217,-0.022844968,-0.015380232,-0.007172526,-0.012103206,-0.01576654,-0.009897066,-0.043941848,-0.017407812,-0.014546861,0.051697336,-0.02522378,-0.026987523,-0.010737453,-0.011347646,-0.023948498,-0.013253824,0.2968337,-0.012032021,-0.017618088,0.44406927,0.01631604,0.6618323,-0.016615562,-0.022401376,-0.029374091,-0.009892579,-0.046238337,-0.0087382775,-0.058825303,-0.020572882,-0.0151295895,0.0032342821,-0.005755593,-0.015287735,-0.012827166,-0.010280194,-0.12107627,-0.020830445,0.05636558,0.0025503635,0.1370816,0.95196116,-0.018280543,0.24638665,-0.008615828,0.92291963,-0.017161883,0.09525384,-0.025101041,-0.019613415,-0.011763597,0.0015355167,-0.043413904,-0.021725101,0.2906592,-0.02135711,-0.017649641,-0.027204668,-0.0050384747
TCGA-CS-5393,-0.017474804,-0.010913826,-0.034409344,-0.023882238,-0.02443887,-0.026111845,-0.015464272,0.011629748,-0.010764994,-0.024964899,-0.009516296,-0.04733485,-0.017680876,-0.022197377,0.08426425,-0.028483555,-0.022419998,-0.01295422,-0.00805996,-0.026061,-0.013707169,0.31899202,-0.015993275,-0.02226694,0.49166274,0.0035954486,0.7277832,-0.013593931,-0.025158307,-0.029848062,-0.014871033,-0.046778146,-0.016209802,-0.06486583,-0.0151094515,-0.01697412,0.0071212095,-0.01504491,-0.0127079375,-0.017829817,-0.016358364,-0.13066058,-0.017393135,0.042198997,-0.0074613485,0.15471604,1.0060483,-0.011138847,0.22572523,-0.011264935,1.0157723,-0.017438617,0.10446023,-0.03158677,-0.01636922,-0.017460432,0.008830763,-0.052780446,-0.02158707,0.25718462,-0.021035708,-0.016668718,-0.029963361,-0.013677293
TCGA-CS-5395,-0.012746999,-0.031502,-0.008037959,-0.021235019,-0.028278235,-0.020425968,-0.011359608,-0.0038035326,-0.034184918,-0.014651919,-0.0065598106,-0.043160565,-0.016873531,-0.024575585,0.35353643,-0.02606595,-0.032750927,0.02675753,0.012057584,-0.024840038,-0.029108515,0.1332731,-0.028330006,-0.009059072,0.4177028,0.1041753,0.5861293,-0.010264266,-0.0178306,-0.058310147,-0.030084847,-0.025008831,-0.0062667006,-0.048550945,-0.012170759,-0.015798733,-0.00033007842,-0.016237572,-0.013062033,-0.003953187,-0.0053354246,-0.09611951,-0.013255382,0.029994205,0.007995452,0.07183489,0.87522054,-0.020908214,0.10997889,-0.006149851,0.8842632,-0.02134363,0.02167237,-0.045144465,-0.046310864,-0.008629141,-0.013889572,-0.037081458,-0.027980344,0.24275927,-0.0331933,-0.035509255,-0.010249799,-0.007561311
TCGA-CS-5396,-0.010806143,-0.010240422,-0.020779513,-0.018099047,-0.019510308,-0.016908951,-0.01715026,0.09445531,-0.0118709635,-0.022572974,-0.013472663,-0.047753297,-0.014865987,-0.026239835,0.035781115,-0.026970632,-0.02204403,-0.012663156,-0.024572141,-0.021456309,-0.015870675,0.26704344,-0.012139766,-0.029562423,0.4720264,-0.0011694366,0.6273818,-0.007802173,-0.022795245,-0.037271682,-0.0080343485,-0.047985755,-0.0059492886,-0.07097933,-0.016580353,-0.021761158,0.0061822324,-0.0056857634,0.007932747,-0.019680146,-0.011090906,-0.13415673,-0.020711694,-0.0025073611,-0.008266923,0.112981156,1.017239,-0.009610444,0.17822754,-0.015025555,0.95136404,-0.020102533,0.0890647,-0.031219937,-0.025056057,-0.010733858,-0.01657847,-0.058134347,-0.012422083,0.2561227,-0.024100546,-0.02035655,-0.02926957,-0.008221275
TCGA-CS-5397,0.0037694927,-0.035322156,-0.017401751,-0.007672843,-0.038191166,-0.014123037,-0.012186972,-0.0057626106,-0.049344566,-0.029003477,-0.01611896,-0.04274409,-0.01902537,-0.03610596,0.53777397,-0.028644064,-0.047436293,-0.0052159945,-0.005887921,-0.036654152,-0.044058666,0.2558087,-0.04864347,-0.021916993,0.4687064,0.20762648,0.7898172,0.009480914,-0.019834029,-0.0649822,-0.03795369,-0.030534312,0.0011587534,-0.06885706,-0.017014647,-0.02300193,-0.011772601,-0.03905981,-0.011214577,0.010450236,0.014635351,-0.1308757,-0.023976173,0.005596389,-0.006445339,0.08532937,1.1330087,-0.022729704,0.13998531,-0.01430789,1.0817587,-0.023727037,-0.017069714,-0.036057115,-0.0563548,-0.006478299,-0.02261101,-0.045312416,-0.03432352,0.27012917,-0.037636973,-0.045055225,-0.006016901,-0.019482225
TCGA-CS-6186,0.030487463,-0.049091056,-0.01806345,-0.018948525,-0.049425207,-0.017944954,-0.011165472,0.037099473,-0.039269574,-0.036154166,-0.006308949,-0.049653262,-0.01787847,-0.0011501964,0.534959,-0.026548982,-0.04528524,0.032831594,-0.012665323,-0.020262294,-0.035478104,0.17610762,-0.03270832,-0.022155873,0.56646955,0.15883109,0.71611154,-0.0068437615,0.040323045,-0.055285554,-0.053137235,-0.028922535,0.02170483,-0.06411427,-0.015596264,-0.010062888,0.017202618,-0.019838149,-0.018869251,-0.012564871,-0.0121051,-0.12239501,-0.008018886,0.073636815,-0.0007667742,0.0650492,1.2005749,-0.01552874,0.12761977,-0.02325423,1.0836167,-0.025186727,-0.0010855244,-0.03475992,-0.062826596,-0.010837866,-0.009847897,-0.029099595,-0.028678082,0.18746032,-0.034263052,-0.04204555,-0.016069705,-0.018003415
