patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-2Y-A9GS,0.21939294,0.7190236,-0.019291427,0.8129486,-0.030251337,1.0586925,-0.022918828,-0.026874794,0.05599307,-0.05568829,-0.029573778,-0.009261592,0.6424626,-0.06557297,-0.081248924,-0.026502186,0.5794804,-0.024958845,-0.046323005,-0.015411002,0.022316728,-0.026863694,-0.055495463,-0.018813357,-0.022348817,-0.013483205,-0.02286359,-0.014551951,-0.019156292,1.4561205,-0.021820918,-0.012278286,-0.017389225,0.046341777,-0.06391441,-0.025451783,-0.013215242,-0.02067259,-0.022556739,-0.029523617,-0.0073652687,-0.063256934,-0.0436912,-0.035156157,-0.023273945,1.2796626,-0.043002762,-0.027514553,-0.046163477,0.009884493,-0.019607557,-0.017963719,-0.027601661,-0.023696294,-0.053852577,-0.019717973,0.19142288,-0.035419818,0.0011235559,-0.04048021,-0.030841108,0.04748301,-0.014524126,-0.019855611
TCGA-2Y-A9GT,0.24216734,0.59531856,-0.024210379,0.68599486,-0.02304373,0.9577816,-0.018861089,-0.029476702,0.061659165,-0.05902593,-0.015548869,-0.012879076,0.49614614,-0.05856889,-0.079804555,-0.032626066,0.508618,-0.01821992,-0.037124805,-0.008422473,-0.004049399,-0.017463403,-0.044285096,-0.0094965175,-0.018697191,-0.00806749,-0.02598755,-0.018987041,-0.011345746,1.1985228,-0.018557753,-0.018463852,0.008985976,0.061028764,-0.046377417,-0.010620143,-0.01162318,-0.019021068,-0.008155131,-0.018999863,-0.03192181,-0.043761928,-0.002774343,-0.014696294,-0.014786446,0.9216292,-0.018641252,-0.013640867,-0.026974626,-0.0110426815,-0.01483473,-0.01823239,-0.01861718,-0.016988708,-0.032251827,-0.014263034,0.11284174,-0.035415187,-0.014548451,-0.03541375,-0.02591033,0.019113455,-0.010143777,-0.00743034
TCGA-2Y-A9GU,0.20327975,0.5216143,-0.025524152,0.72749186,-0.016240278,0.74725854,-0.010244228,-0.022696462,0.0406871,-0.050797723,-0.014164806,0.006132707,0.3395007,-0.058703206,-0.07155584,-0.03176479,0.45769536,-0.023661934,-0.044530008,-0.017640613,-0.011402878,-0.013814892,-0.06974655,-0.014267553,-0.019260516,-0.017838575,-0.00966368,-0.012567205,-0.021775404,0.9804561,-0.014427084,-0.009537493,-0.010489597,0.036302727,-0.04652693,-0.02355165,-0.016790109,-0.014649595,-0.008625156,-0.0030009039,-0.023357855,-0.046322227,-0.020986404,-0.031543184,-0.020858876,0.8609326,-0.035724107,-0.008113289,-0.014822243,-0.01855505,-0.006592472,-0.009415813,-0.020793658,-0.03638374,-0.052630115,-0.017941609,0.09218038,-0.033510074,-0.016007107,-0.03232188,-0.015681842,0.018552396,-0.006237519,-0.0030442502
TCGA-2Y-A9GV,0.2888656,0.5579658,-0.028852224,0.8406084,-0.018104594,0.9000862,-0.014901472,-0.029040195,0.035002485,-0.054527383,-0.017847208,-0.018286593,0.54652107,-0.06953916,-0.07620296,-0.023070196,0.55785966,3.3718534e-05,-0.04376585,-0.023327079,-0.007593305,-0.02270647,-0.05447238,-0.011824425,-0.022311073,-0.011544079,-0.025763959,-0.022395603,-0.020203402,1.2726192,-0.014665829,-0.01970696,-0.00959103,0.035957478,-0.05096094,0.011694441,-0.0090401275,-0.026343152,-0.013118523,-0.022382258,-0.010194074,-0.047733475,-0.022290006,-0.028537946,-0.024405127,0.987597,-0.03588564,-0.019992191,-0.028259646,-0.013356231,-0.008249348,-0.013429932,-0.0068433615,-0.028122813,-0.040083367,-0.012443606,0.13218357,-0.022520693,-0.013840145,-0.039764706,-0.027428724,0.036177624,-0.01677681,-0.0005178123
TCGA-2Y-A9GW,0.14274085,0.5480217,-0.01538825,0.6611058,-0.029906088,0.8172314,-0.0056073423,-0.016940862,0.025642186,-0.05050857,-0.022040013,-0.008539056,0.47531542,-0.062117457,-0.075265504,-0.023994617,0.46917748,-0.021407535,-0.041715253,0.0005728523,0.051351666,-0.016743435,-0.048953295,-0.01172211,-0.011691792,-0.012173943,-0.0151616465,-0.02349149,-0.013294317,1.0346746,-0.011070864,-0.013900507,-0.011855881,0.03900084,-0.047599938,-0.01640102,-0.015507629,-0.017240403,-0.014395119,-0.021821905,-0.006451283,-0.025977537,-0.028689932,-0.0279249,-0.012127403,0.94308543,-0.0304548,-0.020327823,-0.030869551,-0.013715647,-0.0067813615,0.011469194,-0.0149905365,-0.017867118,-0.04106235,-0.012793084,0.15199941,-0.022784706,-0.008285183,-0.040588614,-0.007478208,0.07343127,-0.016071416,0.011091738
TCGA-2Y-A9GX,0.2185795,0.5593399,-0.014927797,0.7590448,-0.018953238,0.88114667,-0.004850763,-0.02485944,0.039905228,-0.05636276,-0.021722129,-0.0049555087,0.5560523,-0.06959897,-0.068736844,-0.025443964,0.45335376,-0.018228568,-0.0364382,0.00913094,0.042475805,-0.011716621,-0.058919337,-0.010949276,-0.017477382,-0.0115749,-0.021864971,-0.017966876,-0.0075631235,1.1717151,-0.017448524,-0.013144195,-0.010200381,0.062120408,-0.048445016,-0.01740974,-0.0154381525,-0.013500323,-0.016816184,-0.025990594,-0.015759006,-0.03688668,-0.021107795,-0.030458944,-0.015438138,0.97488266,-0.025535624,-0.024952877,-0.027374009,-0.013228859,-0.0061976505,-0.011942545,-0.01922066,-0.023092967,-0.042326085,-0.016652187,0.19444817,-0.026185486,-0.0073974673,-0.039422244,-0.018979065,0.0891452,-0.012335611,0.0017152904
TCGA-2Y-A9GY,0.2211478,0.7118881,0.0088701565,0.7328676,-0.029559419,1.0727103,-0.006090807,-0.016251883,0.15815488,-0.06544952,-0.035803467,0.042546153,0.6063597,-0.07283619,-0.0800321,0.026033502,0.43973246,-0.029111447,-0.047338456,-0.01081899,0.06320207,0.0122088,-0.08014557,-0.020932583,-0.028623894,-0.014506704,0.014446003,-0.012971725,-0.023966566,1.4567273,-0.026004875,-0.014315361,-0.013518554,0.012544363,-0.08280203,-0.031690598,-0.024992086,-0.012582004,-0.024190597,-0.028027007,0.13943185,-0.056911096,-0.050005756,-0.039822936,-0.017975004,1.2816874,-0.047179133,-0.032047726,-0.054232683,-0.024648365,-0.022097988,-0.017885508,-0.03498143,-0.020078644,-0.0542917,-0.015662404,0.21156126,-0.042423632,0.015654515,-0.0332588,-0.026735142,0.07959861,0.030863464,-0.004906255
TCGA-2Y-A9GZ,0.2029677,0.664788,-0.02821479,0.76899695,-0.021354448,0.8977219,-0.017361632,-0.024956051,0.05596733,-0.042674184,0.016956268,-0.02149938,0.54529643,-0.055152107,-0.073926605,-0.025058072,0.5115371,-0.003282935,-0.04957749,-0.013889715,-0.020960735,-0.01817423,-0.041019503,-0.0060676145,-0.011449071,-0.008656927,-0.028146796,-0.018044095,-0.021596681,1.1482974,-0.016900029,-0.008510579,0.0056337668,0.024466213,-0.04262477,-0.003308117,-0.015362743,-0.0062953206,-0.008764429,-0.027614024,-0.021500133,-0.05263394,-0.027454492,-0.030463994,-0.033354796,0.978258,-0.0305252,-0.026464809,-0.020786049,-0.017820751,-0.016937772,-0.007888808,-0.0086710155,-0.030849453,-0.014436484,-0.012156019,0.1329673,-0.031294934,-0.015368423,-0.025588783,-0.0125069525,-0.027218916,-0.0059805717,-0.018126784
TCGA-2Y-A9H0,0.31549922,0.7594085,-0.025945604,0.8070524,-0.01265822,0.86706406,0.03237141,-0.013472662,0.10447997,-0.0563159,-0.03668882,-0.020550909,0.55213904,-0.0651441,-0.08470758,-0.020827428,0.43239218,-0.0332385,-0.04101669,0.0008886281,0.016447432,-0.02409156,-0.050006527,-0.02438296,-0.017128373,-0.019722642,-0.0072584725,0.048576295,-0.01310185,1.165441,0.0066701705,-0.024720643,0.028934939,0.001214792,-0.06993937,-0.02598197,-0.011879155,-0.01339176,0.044384867,-0.011477239,-0.0026181275,-0.04667473,-0.030942056,-0.041421898,-0.020060455,1.1005819,-0.03395196,-0.02633861,-0.040693134,-0.026770022,-0.030752042,-0.019915087,-0.024976507,-0.009356888,-0.039962005,-0.0136046745,0.12117002,-0.033626728,-0.01607753,-0.031040952,-0.031151526,0.012535996,-0.024759222,-0.010052839
TCGA-2Y-A9H1,0.09709762,0.5050612,-0.021631727,0.57575196,-0.031541746,0.7160463,-0.008439767,-0.026804315,0.020189531,-0.04769931,-0.017129803,-0.006595548,0.4174134,-0.057897665,-0.07163503,-0.023534674,0.3918864,-0.023038676,-0.047682125,-0.0019493677,-0.003666382,-0.012382136,-0.050259694,-0.007976524,-0.0043098293,-0.008016945,-0.017541688,-0.01783878,-0.0052845813,0.905727,-0.017261688,-0.013555049,-0.0075532673,0.014602992,-0.036238708,-0.0078979265,-0.011334959,-0.0018172376,-0.013330976,-0.018939385,-0.010151733,-0.024407677,-0.015797086,-0.027663395,-0.010758865,0.77515477,-0.037974596,-0.017414987,-0.021630196,-0.01176535,-0.016277732,0.015863167,-0.011264903,-0.02624037,-0.044566527,-0.02170999,0.09760368,-0.03159445,-0.0068947095,-0.038170967,-0.016918607,0.0048652375,-0.01099287,-0.006559411
