patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-2Y-A9GS,-0.056788296,0.40481365,-0.019450631,-0.048966758,-0.15494308,-0.022464912,-0.02250539,-0.04725881,-0.038493406,-0.056753613,0.026356494,-0.016969351,0.45004785,1.0423732,0.071409814,0.0017082251,-0.007704679,-0.01479753,-0.12781592,-0.005910334,-0.021641038,-0.014041463,-0.0040716846,-0.038741715,-0.030551558,-0.012295214,1.1285875,-0.043266356,-0.020821985,0.003692965,-0.010430924,-0.01958439,0.070139095,0.21308056,-0.015028244,-0.031039514,-0.018523991,0.28667226,-0.004881976,-0.039827798,-0.013869472,-0.03084375,-0.018915784,-0.03791552,-0.023048086,1.491811,-0.098099336,-0.047632016,-0.035011347,0.55707526,-0.034283016,-0.028777914,-0.06964159,-0.009681163,-0.040052094,-0.015959317,0.016497295,-0.024172734,-0.009344617,-0.03667637,-0.041772336,-0.012978481,-0.0182434,-0.010773979
TCGA-2Y-A9GT,-0.030415505,0.5173979,-0.015751656,-0.009285481,-0.11489958,-0.011323226,-0.02226998,-0.05077091,-0.016944673,-0.022607958,0.1057977,-0.013596306,0.31707963,0.84182215,-0.01269927,0.022711746,-0.013114794,-0.013250897,-0.08623114,-0.022626672,-0.011683802,-0.005238885,-0.01551298,-0.005733003,-0.028053738,-0.009984112,0.9541644,-0.02175504,-0.021133328,-0.025846722,-0.015782101,-0.012304075,0.056134388,0.19718914,-0.0063286237,-0.024560276,-0.0043222485,0.06234114,-0.021154111,-0.03676975,-0.012622905,-0.027700674,-0.008330865,-0.022673707,-0.010910666,1.2281318,-0.0885912,-0.027310135,-0.014244893,0.36928853,-0.035448074,-0.01949984,-0.046759304,0.015664304,-0.028347744,-0.006839233,-0.007963749,-0.013352071,-0.0109251905,-0.021388378,-0.038482998,-0.01556933,-0.016196115,-0.008105259
TCGA-2Y-A9GU,-0.041914813,0.49903554,-0.013526491,-0.021501105,-0.10845591,-0.0121484995,-0.01966316,-0.046456486,-0.01867966,-0.022562835,0.0805072,-0.022271805,0.32193932,0.70371956,-0.02135294,-0.01091498,-0.015203388,-0.01644824,-0.08974999,-0.013621341,-0.012270249,-0.0139936255,-0.008676268,-0.033296283,-0.034956016,-0.018746005,0.73868024,-0.011954859,-0.016381728,-0.024563272,-0.012202306,-0.02298602,0.018059483,0.21756855,0.00074038794,-0.01741441,-0.011676332,0.05265829,0.0012570256,-0.03598142,0.02770817,-0.032173526,-0.020711785,-0.03268103,-0.013381424,1.0292798,-0.0814333,-0.031803943,-0.020316675,0.28849104,-0.032708388,-0.017956411,-0.051934093,0.018553425,-0.0450601,-0.0011330436,0.0035999347,-0.008499736,-0.017705644,-0.027201917,-0.012298818,-0.0063901534,-0.02743067,-0.01175642
TCGA-2Y-A9GV,-0.040627863,0.49249974,-0.012045781,-0.009129819,-0.13128579,-0.02087335,-0.02847243,-0.03048689,-0.025833841,-0.03496834,0.08757697,-0.013363577,0.42215663,0.92752403,-0.010744292,0.047395125,-0.012990156,-0.022010492,-0.102139175,-0.005325792,-0.01785459,-0.008491993,0.03478727,-0.011808123,-0.029037736,-0.008200124,1.0119905,-0.0268197,-0.020325394,-0.029961608,-0.010911096,-0.01787193,0.03716252,0.15242249,-0.009300187,-0.016048562,-0.01524852,0.08469126,-0.018655261,-0.026279785,-0.010912148,-0.029428588,-0.007782573,-0.019989898,-0.0147668645,1.293226,-0.09880162,-0.029517787,-0.024556907,0.4220792,-0.037946023,-0.026346788,-0.03763831,-0.010710308,-0.036590133,0.009773871,0.02237365,-0.010545112,-0.018752936,-0.025336545,-0.03463789,0.014737255,-0.0069199,-0.0046046954
TCGA-2Y-A9GW,-0.04146601,0.4063154,-0.014213947,-0.025484845,-0.11115813,-0.019687586,-0.0205776,-0.05766754,-0.019840332,-0.024992542,0.08720702,-0.007929562,0.2793679,0.744025,0.01121247,0.03772856,-0.009981233,-0.015224556,-0.09094974,-0.02239931,-0.015733626,-0.00066500064,-0.0044788094,-0.024246141,-0.015042109,0.009689252,0.8729253,-0.028935999,-0.020577073,0.0068577095,-0.0164363,-0.0041684816,0.032724928,0.1662134,-0.008622587,-0.025689155,-0.010457716,0.14201786,-0.0037854887,-0.03394068,-0.009148016,-0.025719276,-0.0095904805,-0.01791269,-0.016923595,1.121569,-0.080685556,-0.03068683,-0.02183563,0.42205727,-0.030553458,0.007288154,-0.05380054,-0.010448947,-0.025391445,-0.017100658,0.01715911,-0.013490343,-0.01910624,-0.029840326,-0.033721507,-0.011925075,-0.01583152,-0.010473125
TCGA-2Y-A9GX,-0.04654009,0.44279647,-0.008742966,-0.022226015,-0.11578364,-0.015012609,-0.013584359,-0.049402837,-0.022088611,-0.03512667,0.07591069,-0.008614549,0.41538185,0.8876555,0.018819548,0.0126698585,0.018474339,-0.01280419,-0.09240784,-0.015984798,-0.013314001,0.01299236,-0.008641147,-0.018853243,-0.021146365,-0.0019449263,0.8577955,-0.028691307,-0.0112060085,-0.0016947882,-0.015169697,-0.016525282,0.056352127,0.16335775,0.0045595686,-0.023808062,-0.015780667,0.16684443,-0.013802106,-0.028452061,-0.009461382,-0.029563969,-0.011970361,-0.018587777,-0.017077373,1.1917033,-0.08126665,-0.030671427,-0.020363599,0.472808,-0.030694231,-0.014002826,-0.050128475,-0.00932031,-0.03102697,-0.0023280932,0.0041100783,-0.01701817,-0.01774319,-0.027780615,-0.038531996,-0.01172011,-0.014923799,-0.005690901
TCGA-2Y-A9GY,-0.059372343,0.2276642,0.020282974,-0.05853353,-0.15133995,-0.01226831,-0.023768174,-0.05625719,-0.046289466,-0.06024689,0.015211208,-0.013001902,0.3994978,1.103513,0.16230756,0.102545545,-0.016916007,-0.018549751,-0.13107917,-0.041566376,-0.018678434,-0.006453466,-0.020951549,-0.050097175,-0.025965478,-0.02414045,1.0729194,-0.04616996,-0.019086609,-0.028243445,-0.012596191,-0.02167683,0.08282702,0.31308728,-0.029210735,-0.009252292,-0.021917757,0.41033936,0.23478353,-0.035405323,-0.008608936,-0.03078745,-0.026748456,-0.0403574,-0.01355612,1.491366,-0.08784738,-0.048437197,-0.02760595,0.5969632,-0.024751814,-0.036919218,-0.09194828,-0.0017686207,-0.047505062,-0.016666926,0.06135826,-0.022117186,-0.013051232,-0.033878203,-0.041292198,-0.016826408,-0.012398841,-0.019681025
TCGA-2Y-A9GZ,-0.030725397,0.4337265,-0.013506181,-0.026813904,-0.108891085,-0.023446418,-0.03581612,-0.01938477,-0.023091784,-0.037386604,0.07911547,-0.02502199,0.39700866,0.7768595,-0.008974912,-0.020201769,-0.019116055,-0.012474066,-0.08284742,-0.012597846,-0.015194906,-0.003993348,0.004103316,-0.015425559,-0.030328168,-0.009720696,0.98165894,-0.020306103,-0.021141015,-0.040989507,-0.012570283,-0.0070972093,0.033073183,0.0928364,-0.011315515,-0.02239581,-0.017678443,0.115727365,-0.0018403344,-0.025267638,-0.021001711,-0.016109042,0.022773776,-0.02946166,-0.02084196,1.1846876,-0.08732198,-0.017821997,-0.020064369,0.37697044,-0.030081177,-0.016615337,-0.035782136,-0.0041680625,-0.03456889,-0.0015825201,0.009984197,-0.013592186,-0.0150711,-0.017762644,-0.03814005,-0.009246563,-0.014569806,-0.015152736
TCGA-2Y-A9H0,-0.042450216,0.38717574,-0.016558938,-0.04451387,-0.14130147,-0.028930265,-0.027157858,-0.046143286,-0.030270565,-0.04359486,0.12168992,-0.02099059,0.29951325,0.95634615,0.009173217,0.036170125,-0.012208298,-0.01788852,-0.09468582,-0.031613674,-0.02174236,-0.0039709457,0.0034048713,-0.045148723,-0.0011276435,-0.017054195,0.9830452,-0.044159997,-0.021715237,-0.03335514,-0.0148843145,-0.011323562,0.023578534,0.2637525,-0.022509325,-0.03336966,-0.024467496,0.2619481,0.14631294,-0.036596544,-0.0059155314,-0.014263729,-0.018887911,-0.035572637,-0.014849035,1.2905295,-0.090186864,-0.042724162,-0.015756987,0.4394639,-0.042128272,0.013793786,-0.06971277,-0.010704543,-0.058963772,-0.021590501,0.0296385,-0.017459363,-0.011082196,-0.02936452,-0.030018434,-0.015114568,-0.016349135,-0.02019079
TCGA-2Y-A9H1,-0.034646485,0.39229676,-0.011984412,-0.024228588,-0.10115824,-0.014416635,-0.021906916,-0.053409643,-0.010811927,-0.027806569,0.06268928,-0.007876393,0.32337695,0.6918118,-0.015610483,-0.0015652697,0.016713725,-0.0064071813,-0.08333246,-0.011515319,-0.012504002,0.0056642313,0.0024392824,-0.03178653,-0.0201657,-0.008143253,0.75344443,-0.023131378,-0.016272139,-0.019207725,0.0015800754,-0.017845392,0.08305293,0.19298834,0.016669478,-0.030061439,-0.018512288,0.11421903,-0.013635219,-0.02522491,-0.012482291,-0.031349085,0.027840294,-0.026140667,-0.011550361,1.0488796,-0.07092912,-0.02305225,-0.026452878,0.3068114,-0.0268581,-0.021414865,-0.05167315,-0.007087782,-0.029524736,-0.00785516,-0.020209257,-0.01682204,0.0026009222,-0.025675736,-0.038505334,-0.011605385,-0.01093965,-0.0020076998
