patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-05-4384,-0.041833147,-0.049276207,-0.01780903,-0.030905109,-0.005753874,1.1353965,0.34815782,-0.014704487,-0.013580856,-0.054852385,-0.04940128,0.008405855,-0.010843283,0.00648738,-0.020586662,-0.00050957233,-0.004406262,-0.008358231,-0.015325953,-0.0090024695,0.027703807,0.04280649,-0.0018434096,-0.06686449,-0.011032699,-0.013120387,-0.014521221,0.22561663,-0.027902443,0.039107136,-0.017149428,-0.015673585,0.01011413,-0.0065572336,-0.008660155,-0.032797594,-0.007805122,-0.022501776,-0.0047544064,-0.0021800399,-0.0214087,-0.0017961571,-0.021597965,-0.02276782,-0.058702543,-0.013247794,0.5190296,-0.014417991,-0.01549552,0.031985633,-0.025042713,-0.021036964,-0.020475935,0.4028998,-0.009169916,-0.03644619,-0.022266172,-0.013277013,-0.048909068,-0.016195554,0.01066308,0.22965296,-0.019976974,1.0896273
TCGA-05-4390,-0.045271464,-0.07405367,-0.023378395,-0.04371719,-0.026792107,1.102588,0.35135812,0.021530848,-0.002874428,-0.070099875,-0.0436671,-0.008175428,-0.020978138,-0.02055562,-0.041950498,0.066942304,-0.00727427,-0.018349353,-0.016170098,-0.02310207,0.074214794,-0.009686466,0.008402536,-0.08316013,-0.01077239,-0.015681304,-0.013991965,0.15619913,-0.03030156,0.018270716,-0.034749143,-0.024108315,0.0076218434,-0.00772152,-0.010211732,-0.04449566,-0.017239612,-0.005730063,-0.015939578,-0.011882899,-0.01378532,-0.024686988,-0.03659711,-0.0040147337,-0.07751345,-0.015857048,0.37407497,-0.007546096,-0.012197666,-0.0076242266,-0.017894778,-0.035752285,-0.023389678,0.36455107,0.031168494,-0.050145835,-0.01689292,-0.008606041,-0.052271836,-0.020335719,0.011427609,0.19673774,-0.02364454,0.95142984
TCGA-05-4396,-0.039782047,-0.07594018,-0.02203251,-0.035853736,-0.014341156,1.1169693,0.29853886,-0.016473737,0.028219577,-0.067254126,-0.035202026,0.05180439,-0.0070591364,0.109299615,-0.0443996,0.084932804,-0.028785609,-0.019795533,-0.024049766,0.009311599,0.06307553,-0.014290841,0.028032731,-0.06495845,-0.012505085,-0.022608187,-0.02616947,0.12262851,-0.04292208,0.034323823,-0.024187211,-0.015947772,0.010269562,0.0075036115,-0.004019854,-0.049715515,-0.025585087,-0.021900335,-0.0035107643,-0.009137112,-0.01885383,-0.01730048,-0.029844308,-0.0047028805,-0.07189356,0.026140917,0.46751317,-0.0114465505,-0.022051016,0.0213745,-0.021740276,-0.032093264,-0.01515913,0.3255568,-0.017238863,-0.03184484,-0.025456764,0.016620694,-0.04398986,-0.02428503,0.035646595,0.16482684,-0.027185962,1.0201819
TCGA-05-4405,-0.05600572,-0.076970674,-0.022122003,-0.03760264,-0.01247223,1.2228533,0.44629762,-0.02663516,-0.02052057,-0.066994235,-0.056281812,0.005729702,-0.017443271,0.011978627,-0.055502906,-0.008718237,-0.0115971165,-0.021538615,-0.019759094,-0.013214737,0.09176642,-0.02112356,0.0027743778,-0.1029094,-0.022094548,0.02357538,-0.0181288,0.0845843,-0.052219894,0.009324754,-0.042529628,-0.015435788,0.0032161293,0.003942758,-0.0096227145,-0.045528654,-0.012923298,-0.024959885,0.0010642922,-0.015416285,-0.017767314,-0.03402531,-0.038389847,-0.016794575,-0.08368227,-0.0020231432,0.46050546,-0.011678663,-0.027692735,-0.010337138,-0.022829503,-0.031125056,-0.0137386415,0.4770196,0.0023323784,-0.05865987,-0.026171098,-0.018162783,-0.07173127,-0.015805025,-0.00078377407,0.3400277,-0.037456702,1.1063849
TCGA-05-4415,-0.06962839,-0.07843718,-0.025490142,-0.04470739,-0.013842427,1.6752448,0.3403067,0.22906019,0.14695866,-0.10864014,-0.07880717,-0.019599533,-0.024964664,-0.024902996,-0.04896783,0.32248336,0.024564797,-0.015585467,-0.026369695,-0.006753576,0.025096802,0.06611011,-0.03044361,-0.12743172,-0.027873635,-0.03989221,-0.044975933,0.15881762,-0.029017173,-0.031430133,-0.022716101,-0.029173888,0.06638894,0.015326445,-0.015671942,-0.057943836,0.015067888,-0.045170322,0.028813627,-0.025839765,-0.010726123,-0.038323484,-0.024254961,-0.032400325,-0.10788252,-0.017823528,0.7945342,-0.014155048,-0.030625585,0.13478573,-0.038462996,-0.041752152,0.03558687,0.59662706,0.0040468434,-0.05558297,-0.02357867,-0.010044331,-0.039657556,-0.054787535,-0.0034165357,0.3271032,-0.02493142,1.6210711
TCGA-05-4417,-0.051795907,-0.07636912,-0.01376988,-0.03341489,-0.014378083,1.0413079,0.388999,-0.0068953866,-0.013775882,-0.056886137,-0.043762244,0.0051582092,-0.01331191,-0.011346506,-0.03413706,0.02333532,-0.009470869,-0.018113486,-0.013538867,-0.018977907,0.01761271,-0.006031923,0.017550401,-0.08435796,-0.009167971,-0.01065043,-0.016830245,0.20635375,-0.030320475,-0.013630665,-0.024252532,-0.01596882,0.019542929,0.013985643,-0.012810946,-0.03933335,-0.010461751,-0.019981073,0.006473059,-0.017019313,-0.024294527,-0.031288058,-0.030971475,-0.0046264543,-0.06711498,-0.010285629,0.45103908,-0.008075561,-0.0317803,-0.009651599,-0.023621066,-0.0347636,-0.019801404,0.404862,0.015824677,-0.055289403,-0.014413461,-0.004597293,-0.05513619,-0.017278407,0.020733315,0.27217934,-0.026741788,0.98096526
TCGA-05-4424,-0.041093662,-0.05477996,-0.021399641,-0.028095558,0.013556887,1.2262435,0.34660733,-0.014073894,-0.020978522,-0.05245346,-0.048393786,-0.0054496466,-0.010674505,-0.011847975,-0.035348944,0.07285349,-0.008453848,-0.013290528,-0.0151021695,-0.0073785055,0.057892606,-0.010665496,0.011141686,-0.07115414,-0.010084439,-0.028928615,-0.026967993,0.24931318,-0.028220188,0.001066397,-0.009561929,-0.011387675,0.04985044,0.053313088,0.036170743,-0.04492127,0.0031564091,-0.027188173,-0.01531758,-0.014245275,-0.010450436,-0.028557602,-0.025067221,-0.014583416,-0.0561368,-0.007566888,0.5490789,-0.016422627,-0.0194263,-0.005486966,-0.016146738,-0.023379637,-0.003507724,0.36450586,0.03594615,-0.045275316,-0.01697948,-0.009451571,-0.04748244,-0.02352443,0.028896034,0.25094622,-0.026766675,1.1831857
TCGA-05-4425,-0.05215939,-0.0724317,-0.025175866,-0.043443702,-0.0034612757,1.1284205,0.42750755,-0.013299395,-0.018910836,-0.07311252,-0.052200522,0.01609889,-0.0103887,0.0021390608,-0.053971104,0.009581812,-0.020443182,-0.01266901,-0.01668508,-0.014637767,0.06738246,-0.02328249,-0.0059401705,-0.09455842,-0.021869034,-0.008120648,-0.014147158,0.10409714,-0.04501709,0.011050275,-0.036363125,-0.012681557,0.003267595,-0.0033220847,-0.0132428985,-0.044611625,-0.014185259,-0.022810211,-0.015986893,-0.012897272,-0.030790357,-0.025675049,-0.04346775,-0.019813046,-0.07210323,-0.009310334,0.47934034,-0.010188732,-0.022014696,-0.010425346,-0.024974268,-0.026533674,-0.01578868,0.45393932,0.001077163,-0.06050722,-0.025546603,-0.010073779,-0.06427311,-0.027758345,-0.0063156825,0.29777032,-0.03780792,1.0698394
TCGA-05-4427,-0.052647598,-0.08639913,0.016097147,-0.043471515,0.0015300047,1.082517,0.28157,-0.023392132,-0.009219097,-0.071499966,-0.04604324,0.048727334,-0.008752169,0.014066037,-0.047883466,0.016871825,-0.008803844,-0.014675658,-0.010619577,-0.017745242,0.17716227,-0.02328005,-0.014795929,-0.103137866,-0.011337198,-0.025691312,-0.017954012,0.0584341,-0.04216725,0.014276173,-0.042300854,-0.021911696,0.015174173,0.00035944348,0.0025140136,-0.040194333,-0.012554726,-0.01766321,0.01467025,-0.0067946604,-0.015766283,-0.018299429,-0.042437978,-0.011162311,-0.084493384,-0.008731833,0.4048536,-0.017056704,-0.02136324,0.013464922,-0.021953076,-0.03291964,-0.032937694,0.4251951,-0.010339883,-0.04252868,-0.02455521,0.015188387,-0.058317743,-0.019648172,0.015012919,0.28919348,-0.022176389,0.9789387
TCGA-05-4433,-0.04247119,-0.06425184,-0.02594282,-0.027708663,-0.011822743,1.2855418,0.3704272,-0.013257897,-0.01067364,-0.06419304,-0.0488401,-0.003493274,-0.017371854,-0.008825639,-0.04284748,0.08130221,-0.012372385,-0.012604185,-0.009790725,-0.011832161,0.09200351,-0.009625723,0.04144665,-0.090016335,-0.016656183,-0.013835656,-0.022573818,0.19898894,-0.024700977,-0.013499517,-0.025550265,-0.01330868,-0.011987514,0.07199256,-0.014970684,-0.054205187,0.0019218489,-0.01645673,0.0078966655,-0.015433593,-0.0261995,-0.04103408,-0.025970716,-0.0019111854,-0.065792195,-0.015549156,0.5433655,-0.0061886166,-0.029758463,0.0550069,-0.025887689,-0.0286653,-0.015937153,0.50764453,-0.0018083714,-0.0481036,-0.03008043,-0.017378366,-0.050606333,-0.021364238,0.059373535,0.32331955,-0.03365421,1.0894737
