patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-05-4384,-0.01941313,-0.013509072,-0.030048765,-0.0073717795,-0.013340199,-0.013799805,-0.015742015,0.048568785,-0.018569432,-0.012126514,0.03032662,0.88876575,-0.023465937,0.8447296,0.35779482,-0.009920834,-0.00800503,-0.01351486,-0.0072953766,-0.012252742,0.61071926,-0.0047336407,-0.012274674,-0.012134783,-0.008767756,-0.06980689,-0.016458122,-0.009902891,-0.006851607,1.1666806,-0.01695193,-0.027626984,-0.013743369,0.050756462,0.74344146,-0.022211637,-0.01428701,0.06331983,0.73520386,-0.008141689,0.89453787,-0.011697071,-0.009261899,0.14085461,-0.0230815,0.04377238,0.005943693,-0.007601453,-0.00988039,0.006357599,-0.008570177,-0.04377053,-0.0139117595,-0.017972449,0.011077101,0.012097905,0.012194168,0.17342307,-0.011209574,-0.011518139,0.010954373,-0.012559737,-0.011737813,-0.0033804674
TCGA-05-4390,-0.0266357,-0.011630612,-0.038736157,-0.009863505,-0.018006777,-0.0005123147,-0.029002557,0.018672492,-0.021793004,-0.0050247144,0.02069021,0.86161697,-0.034084063,0.884776,0.20575514,0.007690322,-0.0075684246,-0.016070684,-0.022210568,-0.008476077,0.48174763,-0.015213597,-0.018885987,-0.02247112,0.018017454,-0.06125094,-0.0019351402,-0.025864458,-0.012398452,1.0860764,-0.026741378,-0.03245392,0.07283464,0.056990825,0.6776713,-0.029561516,-0.014276529,0.026861297,0.72145146,-0.012436543,0.74777395,-0.017643927,-0.020337377,0.17288654,-0.01470748,0.0450183,0.015729139,-0.011507653,-0.020037193,-0.01672576,-0.011650695,-0.04076846,-0.034085393,-0.014734441,-0.014382514,0.040138252,0.04436164,0.18378952,-0.015549511,0.017556777,-0.0170684,-0.01819944,-0.01682316,-0.020621272
TCGA-05-4396,-0.025654817,-0.009946351,-0.040582433,-0.019798933,0.014507908,-0.018889897,-0.024256127,0.008952616,-0.017738475,-0.008928982,0.039350376,0.9218885,-0.029030468,0.92230725,0.26279148,0.060097314,0.012566686,-0.014505815,-0.016057497,-0.0075675733,0.508214,-0.025389448,-0.015176254,-0.02314426,0.00066043204,-0.082317114,-0.01672636,-0.017266639,-0.02127877,1.1472774,-0.031161187,-0.01957836,-0.0013491185,0.04164754,0.9496305,-0.03173898,-0.021732673,0.008291131,0.70314074,-0.017275961,0.894445,-0.027249962,-0.0055099064,0.2674849,-0.023892013,0.044679627,0.034723908,0.0006576835,-0.020041058,0.006648902,-0.010646727,-0.041921068,-0.028729651,-0.0013481479,0.0109044975,0.014512636,0.034216072,0.20368478,-0.0057908483,0.08273154,-0.001767613,-0.012327751,-0.016957823,-0.023470271
TCGA-05-4405,-0.025209606,-0.018061373,-0.049989186,-0.021363262,-0.020268057,-0.004839688,-0.029563611,-0.007797698,-0.021800747,-0.0005951552,0.05888098,1.0529056,-0.03197669,0.9916016,0.36462635,-0.020371187,-0.014412403,-0.010977186,-0.028193278,-0.015468531,0.67321134,-0.011768007,-0.015979517,-0.03213924,-0.021012027,-0.06320864,-0.021894924,-0.032506738,-0.018535582,1.258567,-0.027758712,-0.033534177,-0.007574278,0.013502203,0.8294033,-0.030340794,-0.019150563,0.05589434,0.88818514,-0.028677821,0.93543804,-0.0153569905,-0.01911182,0.15973476,-0.026580207,0.01670797,0.024026673,-0.015329722,-0.022377068,-0.0054932707,-0.011122104,-0.06448707,-0.026245598,-0.0052467613,-0.005578737,-0.0016969277,0.04346407,0.22367075,-0.0009015235,0.048805214,-0.013846584,-0.02766578,-0.012077362,-0.02846825
TCGA-05-4415,0.011397524,-0.017443154,-0.043465838,-0.025904432,-0.020070944,-0.029655222,0.045453787,0.043120056,-0.045517553,-0.018075218,-0.004705376,1.4398592,-0.04211796,1.5722151,0.47828892,-0.020600896,-0.02252452,0.014886223,0.09834345,-0.0051176506,0.79398584,-0.019904073,-0.007759191,0.05142868,0.053161457,-0.13405448,-0.013505036,-0.021795258,-0.042929277,1.6120745,-0.026500262,-0.036034636,0.09559205,0.03106836,0.88810754,-0.0500604,-0.035017088,0.18516637,1.0838447,-0.030500593,1.1830502,-0.020797862,-0.030805118,0.30068848,-0.022438573,-0.0058369436,-0.01511828,-0.016906163,-0.0216495,-0.017179225,-0.008323316,-0.053679448,-0.01905192,-0.0029688939,-0.023891654,-0.020010374,0.0065250807,0.115444615,-0.022792833,-0.00772015,-0.011139344,0.06404092,-0.01464012,-0.024874046
TCGA-05-4417,-0.023624582,-0.017353894,-0.041123793,-0.017633196,-0.013484933,-0.009198621,-0.029119454,-0.0020371082,-0.026490927,-0.02106095,0.043737575,0.9249579,-0.027470928,0.9060814,0.2864548,-0.0076084333,-0.010408762,-0.01274416,-0.011753108,-0.017862637,0.5621717,-0.010811013,-0.017091846,-0.028537743,-0.008170685,-0.06029895,-0.017528875,-0.017248055,-0.016097121,1.1278532,-0.022280535,-0.035367887,-0.0017517849,-0.0036391802,0.7895991,-0.028195277,-0.01794516,0.022707196,0.7807306,-0.014554987,0.8545661,-0.016219415,-0.017490933,0.077575706,-0.017988624,0.023139125,-0.0040220274,-0.010630433,-0.013428737,-0.005927447,-0.013127075,-0.044519946,-0.016581874,0.009719021,-0.017635051,0.0015607568,0.040193103,0.22932996,-0.0052692676,0.041041024,-0.017054593,-0.020752225,-0.011938846,-0.019434124
TCGA-05-4424,-0.018588237,-0.004788692,-0.032115728,0.010459723,-0.009103254,-0.0163195,-0.015049386,0.044771973,-0.018876819,-0.013743891,0.04186871,1.0124067,-0.028294664,1.0625631,0.3317923,0.0061091185,-6.160699e-07,-0.01870006,-0.020580426,-0.011469201,0.6153822,-0.0009302478,-0.014695923,-0.011252541,-0.010648753,-0.06887835,-0.011741258,-0.022249006,-0.015385348,1.2273378,-0.021278463,-0.02094806,0.007397997,0.06321602,0.8351386,-0.022947256,-0.01740912,0.0426447,0.82532275,-0.012365782,0.89196545,-0.0143060535,-0.022442942,0.1679644,-0.02483859,0.042128198,-0.012164008,-0.016068105,-0.013561183,0.00840523,-0.011084495,-0.043771237,-0.017955208,-0.010850698,0.006458743,-0.002826575,0.035168476,0.11792446,0.0074768616,0.003985272,0.031726927,-0.023628684,-0.015202806,-0.027084822
TCGA-05-4425,-0.028132604,-0.009830169,-0.0440013,-0.016085966,-0.03560698,-0.011512565,-0.0230434,0.008379736,-0.013865235,-0.015001497,0.014708669,0.9862299,-0.03698698,0.9032927,0.28717285,-0.022094607,-0.013616755,-0.0052222395,-0.019794647,-0.016410364,0.6304704,-0.026021544,-0.015439315,-0.03323374,-0.018061077,-0.07005881,-0.015846211,-0.022362934,-0.006601296,1.1782973,-0.017068133,-0.032686234,-0.0035974602,0.011517135,0.83061725,-0.025771711,-0.01508411,0.04517337,0.8131976,0.021746736,0.8181759,-0.01592734,-0.01706242,0.1631037,-0.024805836,0.059136774,0.016621474,-0.014817765,-0.019267008,-0.015249931,-0.011011911,-0.049574837,-0.027406104,-0.007994016,-0.0103430245,0.003004235,0.0048427437,0.13595998,-0.015438431,0.08552371,-0.020812757,-0.019545574,-0.013287427,-0.02823134
TCGA-05-4427,-0.0163175,-0.021747898,-0.036274463,-0.020111501,0.025804557,-0.010547819,-0.0086524915,-0.012551528,-0.030319568,-0.0054469393,0.06365021,0.84222215,-0.038124047,0.9049337,0.2787266,-0.002695858,-0.014543915,-0.0173962,-0.023858096,-0.0063951826,0.4956448,-0.009837048,0.037748612,-0.026115175,-0.015179105,-0.06688262,-0.022707354,-0.028488223,-0.009776337,0.9780718,-0.028473731,-0.024195027,0.038097743,0.028047865,0.73499256,-0.033081297,-0.011183018,0.032756478,0.6862706,-0.010540539,0.73679006,0.003520879,-0.012165889,0.19024456,-0.022288918,0.009926191,-0.010609135,-0.009499738,-0.020638159,-0.0109402,-0.023005972,-0.048143163,-0.023557182,-0.01058034,-0.011437152,0.006230805,-0.004975728,0.20828804,-0.016069734,0.0014518667,0.025663193,-0.009128231,-0.012523982,-0.025384262
TCGA-05-4433,-0.018274222,-0.0143592,-0.030580943,-0.0065499465,-0.0054065213,-0.010500067,-0.018861413,0.016565774,-0.022697087,-0.02064507,0.027265433,0.887733,-0.038235642,0.98965275,0.29014513,-0.0021846555,0.008115716,0.01021559,-0.021498438,-0.0130103845,0.6716508,-0.015095536,-0.020376477,-0.023973439,-0.014124459,-0.081065655,-0.015831027,-0.012731251,-0.0054773223,1.2019875,-0.024895594,-0.026769457,-0.016429817,0.06671315,0.7929111,-0.022847721,-0.018060094,0.08782478,0.7949077,0.082769476,0.92537355,-0.012432431,-0.020032555,0.14372012,-0.023859162,0.049856428,-0.019937273,-0.0058039753,-0.013631283,-0.01667758,-0.012599036,-0.051257625,-0.021527836,-0.009932694,-0.00802404,-0.013558842,0.053952765,0.16497244,0.008578907,0.030566601,-0.008687103,-0.019391233,-0.0131552685,-0.012744137
