patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3M-AB46,0.030043136,-0.012944147,-0.03486933,0.001017075,-0.024537768,0.3945082,-0.0075903647,0.034853343,-0.029924389,-0.016336877,-0.014792065,0.56326556,-0.013159739,-0.017621223,0.020491943,0.012009071,0.14369613,-0.0126154525,-0.015812278,-0.021033093,0.7674259,-0.01856031,0.052765366,-0.012868557,-0.0094141895,-0.016435433,-0.0042822068,-0.002648233,-0.011486033,0.67833257,0.026611108,-0.0036286705,0.37104806,0.08905627,0.25746098,0.0042310623,-0.017894816,0.06829956,0.2626323,1.1057163,0.032954082,-0.018292962,0.3681422,0.009199042,0.015799733,0.14977126,0.010479127,-0.0010245959,-0.027663011,-0.06099222,0.013672872,-0.03560195,-0.0117569575,0.01325942,-0.013073852,-0.012319042,-0.018559236,0.0293643,-0.025156327,-0.011303329,-0.017432144,0.0013000406,-0.0068205623,-0.008759178
TCGA-B7-5816,-0.006737838,-0.031781398,-0.06113041,-0.013280515,-0.03594612,0.49392152,-0.020534001,0.051306333,-0.03853082,-0.029989809,-0.036727067,0.59559876,-0.014149994,-0.027237399,-0.019180503,0.0015103789,0.007822355,-0.020925138,-0.0243032,-0.014892483,0.83441734,-0.020031383,-0.031655412,-0.03546495,-0.023568641,-0.029306881,0.005002299,-0.0041783676,-0.012790344,0.7718266,-0.013553997,-0.010628945,0.3676962,0.08641328,0.37950063,0.008610071,-0.015635539,0.021337852,0.29103896,1.2033315,0.066338256,-0.0171842,0.42536223,0.030449107,-0.008683827,0.22167456,-0.013146659,-0.033725593,-0.042249776,-0.07378017,-0.015428711,-0.04160115,-0.014216457,-0.0035134645,-0.021822307,-0.0055377167,-0.035418548,-0.010870747,-0.024342453,-0.014800023,-0.02859251,-0.008862685,0.0069557494,-0.016801964
TCGA-B7-5818,0.04107835,-0.012889715,-0.07763633,-0.002807598,-0.036667913,0.5629453,0.0018255763,0.02562828,-0.023805834,-0.022608947,-0.042041186,0.66531754,-0.014242622,-0.0252617,-0.0055342186,-0.0005975331,-0.00093459955,-0.020086406,-0.01740351,-0.00909081,0.86150354,-0.013911877,-0.021895247,-0.041523136,-0.021091998,-0.02985677,-0.0016206449,-0.00794797,-0.030253354,0.72045964,-0.0035653787,-0.017742235,0.40487382,0.04406241,0.30760896,-0.0115295295,-0.016529003,-0.0074390066,0.30573595,1.2298658,-0.011294128,-0.01762835,0.36920318,0.030686498,-0.008335974,0.20872986,-0.013140309,-0.02856575,-0.03839676,-0.08413521,0.00980066,-0.03888034,-0.023472087,0.01524985,-0.008040843,-0.0019445443,-0.030951465,-0.014738705,-0.035492327,-0.021116432,-0.028672252,-0.013991069,-0.01960187,-0.016260207
TCGA-B7-A5TI,-0.013302356,-0.01874984,-0.03848433,-0.0082148025,-0.028687708,0.40481448,-0.022165257,0.038873933,-0.03773733,-0.0033492194,-0.017429017,0.6064087,-0.0050436617,-0.01976415,-0.013354188,-0.009484354,0.1008028,-0.009368307,-0.024333559,-0.019395718,0.7264943,-0.023257967,-0.013568529,-0.026925474,-0.011439286,-0.013413861,-0.016042445,-0.0067313276,-0.010949546,0.7480913,-0.0060612876,-0.010487899,0.33745867,0.13083741,0.18546912,-0.014013043,0.0057403967,-0.0060918424,0.27203918,1.1085036,0.044073444,-0.012957297,0.4094738,0.017693413,-0.0042465096,0.1971677,0.00017712032,-0.018917613,-0.035564337,-0.054187596,-0.00511038,-0.031854875,-0.01713152,0.0029862511,-0.01469835,-0.007624941,-0.028207913,0.0016308236,-0.019001463,-0.012867462,-0.016223844,-0.008269884,-0.008047057,-0.00937916
TCGA-B7-A5TJ,-0.0028449136,-0.02655081,-0.081817806,0.0020612748,-0.031048967,0.44377318,-0.016086388,0.051368255,-0.031567045,-0.024062632,-0.037589256,0.57443106,-0.011641174,-0.02770419,0.006940386,-0.025103414,0.036343478,-0.01524849,-0.012602467,-0.018132001,0.7854847,-0.019328501,-0.017483119,-0.037127256,-0.013038786,-0.027949493,-0.014161298,-0.013363486,-0.025147544,0.66613597,-0.006363528,-0.008389023,0.31903154,0.09989525,0.27196395,0.011223635,-0.016592443,-0.0077116406,0.2748077,1.057931,0.029110344,-0.0059911376,0.33161125,0.036012262,-0.011806762,0.18342814,-0.006640935,-0.026361693,-0.030239139,-0.08515232,0.024319466,-0.035902943,-0.012604884,-0.0016496676,-0.019474626,-0.008102702,-0.01678031,0.0017734147,-0.030491294,-0.010894371,-0.023596967,-0.010651856,-0.014783768,-0.012438888
TCGA-B7-A5TK,-0.008876605,-0.028151669,-0.052273694,-0.012259997,-0.028655564,0.38205785,-0.016085627,0.067012906,-0.029510267,-0.019234791,-0.023470527,0.50294644,-0.008938619,-0.023802213,-0.015680633,-0.009376316,-0.008534675,-0.010406799,-0.026477534,-0.0057735667,0.663705,-0.01676968,-0.01443438,-0.025369082,-0.015612563,-0.019446675,-0.010666126,-0.011382559,-0.012459468,0.6361556,-0.008519919,-0.010420546,0.34196556,0.103825144,0.2714305,-0.00937099,-0.017260972,-0.0059959646,0.24684449,0.9905559,0.047403194,-0.007887807,0.347942,0.027009448,-0.012325037,0.17454049,-0.011977116,-0.020760495,-0.027407326,-0.06866994,-0.01809136,-0.02872292,-0.010242039,0.0037182483,-0.0176998,-0.007559454,-0.02401695,0.023103815,-0.020063968,-0.012672709,-0.020268891,-0.010752289,-0.00771279,-0.005685797
TCGA-B7-A5TN,-0.01516844,-0.023077378,-0.03900537,-0.005843875,-0.033684865,0.35316527,-0.0079659,0.014472982,-0.044974774,-0.01754639,-0.023911107,0.4979302,0.011587619,-0.016748007,-0.012177009,-0.008334206,0.08186188,0.008972782,0.0018228889,-0.00615154,0.6776817,-0.024618402,-0.020217657,-0.021611663,-0.01625624,-0.015958782,0.007761877,-0.007092183,-0.013918621,0.58542067,-0.007305013,-0.004875408,0.31479603,0.10276019,0.30854312,-0.013091156,-0.016466642,-0.0077214674,0.2620548,0.95540524,0.025571354,-0.009993479,0.33491588,0.011207212,-0.006128437,0.11385162,-0.010460428,-0.01357046,-0.031487204,-0.05935535,-0.0016872275,-0.037020214,-0.019392986,-0.010276308,-0.015480923,-0.005744165,-0.020339277,0.013801613,0.0036845282,-0.009071353,-0.029853659,-0.001845892,-0.0048271935,-0.015147563
TCGA-BR-6452,-0.0037815487,-0.02136496,-0.07523236,-0.010219449,-0.034527823,0.5548989,-0.012829451,-0.0021556113,-0.037733942,-0.027450923,-0.042886745,0.68105394,-0.014354141,-0.02700995,-0.0066500613,-0.018267896,0.0032974859,-0.0105946995,-0.024099343,-0.016964713,0.9502617,-0.022675134,-0.012007557,-0.037419148,-0.01790265,-0.032534897,-0.00034843362,-0.014466101,-0.022218212,0.7357625,-0.0143932495,-0.014600448,0.39855576,0.08882769,0.35755032,-0.0109204445,-0.0018295385,0.006262725,0.34336478,1.2810584,0.030485986,-0.014475328,0.39083722,0.08028979,-0.0105223525,0.21231636,0.007239445,-0.022576915,-0.042989917,-0.08850926,-0.013907628,-0.046906114,-0.0150851915,-0.0072251195,-0.026056964,-0.014076852,-0.024643399,0.005276446,-0.028518809,-0.015551815,-0.021838436,-0.008468559,-0.014321971,-0.019093
TCGA-BR-6453,-0.0062049883,-0.0281931,-0.048245646,-0.013885142,-0.020868871,0.4054351,-0.020439498,0.046882745,-0.032389723,-0.023166012,-0.025507933,0.50003487,-0.014168267,-0.0225437,-0.014534462,-0.0031195814,0.0082375035,-0.014401391,-0.025138607,-0.00807692,0.69527006,-0.019982617,-0.017134309,-0.020152533,-0.016735228,-0.01922799,0.0034960732,-0.011177372,-0.013217272,0.6968083,-0.0114928465,-0.008320395,0.36725217,0.14040673,0.27888864,-0.005392,-0.005063586,-0.010295937,0.2739502,1.0295353,0.054038342,-0.007879545,0.45106506,0.01903079,-0.0055888356,0.1727089,-0.008567551,-0.025236577,-0.031264566,-0.06258567,-0.025976384,-0.02878948,-0.008547727,-0.0004585702,-0.015282988,-0.010994525,-0.032996137,0.027364701,-0.017908238,-0.013094975,-0.01759539,-0.008304774,-0.012498498,-0.00981427
TCGA-BR-6455,-0.010567906,-0.025209509,-0.07333767,-0.008386702,-0.034582432,0.5364728,0.011249667,0.06771798,-0.02954778,-0.029415144,-0.036513705,0.69338495,-0.014441265,-0.029975846,-0.014738368,-0.0132599855,-0.0031104065,-0.022036584,-0.020798821,-0.011686627,0.8197251,-0.022132937,-0.023006503,-0.033613436,-0.018362395,-0.03210067,-0.0077725933,-0.015845923,-0.014169425,0.7443837,-0.0069416864,-0.01741211,0.3319468,0.10521858,0.29319063,-0.0011759473,-0.018449273,-0.008496094,0.26405698,1.2068348,0.020219542,-0.01626391,0.38830328,0.033181403,-0.006943472,0.17772748,0.0089390315,-0.024421297,-0.037686452,-0.09402272,-0.015742142,-0.04035472,-0.015978571,0.0029908093,-0.008500015,-0.010348778,-0.028538294,-0.010151027,-0.030414978,-0.0051325858,-0.023873482,-0.013405378,-0.012696821,-0.012557413
