patient_id,shared_0,shared_1,shared_2,shared_3,shared_4,shared_5,shared_6,shared_7,shared_8,shared_9,shared_10,shared_11,shared_12,shared_13,shared_14,shared_15,shared_16,shared_17,shared_18,shared_19,shared_20,shared_21,shared_22,shared_23,shared_24,shared_25,shared_26,shared_27,shared_28,shared_29,shared_30,shared_31,shared_32,shared_33,shared_34,shared_35,shared_36,shared_37,shared_38,shared_39,shared_40,shared_41,shared_42,shared_43,shared_44,shared_45,shared_46,shared_47,shared_48,shared_49,shared_50,shared_51,shared_52,shared_53,shared_54,shared_55,shared_56,shared_57,shared_58,shared_59,shared_60,shared_61,shared_62,shared_63
TCGA-3M-AB46,-0.014039391,-0.017798122,0.0031201455,-0.031170644,-0.017584343,-0.012409523,-0.010274776,-0.006381425,-0.014559977,0.009036116,0.33388144,-0.014439182,-0.011894472,0.033275876,-0.021340821,-0.010559759,0.06441529,-0.010494,-0.021350324,-0.053919427,0.014215993,0.00859354,0.5273781,-0.0069426913,0.22545537,-0.019907663,-0.0464973,-0.003413395,0.02397094,-0.030669538,0.086046204,-0.029123306,0.0364229,0.0063863,-0.06491724,-0.024382733,-0.025186725,-0.021153376,0.0061049294,-0.018807504,0.79609245,-0.01232692,-0.03280905,0.70384485,-0.01751189,0.070175126,0.40657878,-0.023393387,-0.017613443,0.010814968,0.18576999,-0.044640146,-0.0037492048,0.08757532,-0.021190124,-0.013107181,-0.013098658,0.35100147,-0.024515783,-0.014287259,-0.013342425,-0.014657006,-0.013690349,1.1493133
TCGA-B7-5816,-0.016820708,-0.027724039,0.0022649849,-0.06291454,-0.017889908,0.025767483,-0.013015547,-0.020490391,-0.007077886,-0.014872194,0.3402179,-0.032765664,-0.0035569835,0.038647164,-0.029887319,-0.012364497,0.12737931,0.008454729,-0.03825303,-0.06996751,-0.014922643,0.0021051422,0.5632968,-0.0066052154,0.12281464,-0.029060911,-0.0484102,-0.014483692,-0.008708866,-0.041212596,0.13521919,-0.06531802,0.007850378,-0.014684403,-0.08442963,-0.028263874,-0.02916618,0.062466487,-0.023917992,-0.03170758,0.90019894,-0.014362975,-0.03494112,0.84912276,-0.01771288,0.069119126,0.52460176,-0.024743732,-0.014342854,-0.013982391,0.23190835,-0.06765546,-0.006659684,0.192687,-0.014613847,-0.01786372,-0.013332966,0.38287085,-0.029584464,-0.0120414235,-0.012586707,-0.021025972,-0.014884265,1.2913804
TCGA-B7-5818,-0.024265233,-0.017010339,0.018880665,-0.08463302,-0.021545129,0.011958493,-0.01821332,-0.021383563,-0.018452361,-0.004905864,0.3513257,-0.02979367,-0.01649062,-0.002006721,-0.020273348,-0.015552902,0.1403825,-0.023264894,-0.036244374,-0.06817099,-0.01333659,0.0038375177,0.51172197,-0.015376064,0.22637534,-0.030941408,-0.053613245,0.0145283695,-0.01928538,-0.043818966,0.06831501,-0.036164213,0.08761476,0.01772885,-0.10264043,-0.044334393,-0.030597908,0.006728356,-0.02501324,-0.028821735,0.85033303,-0.007141129,-0.027758552,0.8536427,-0.019571804,0.050419144,0.5545038,-0.021901855,-0.012302004,-0.015340554,0.20522046,-0.070329145,-0.009846328,0.2318154,0.006702313,0.027555522,-0.011648957,0.41348457,-0.02904366,-0.015814945,-0.020467479,-0.024995258,-0.01838168,1.2728828
TCGA-B7-A5TI,-0.017978378,-0.021282539,-0.013300726,-0.036238555,-0.01736573,0.017920101,-0.006517958,-0.012157325,0.026367044,-0.007860181,0.3107223,-0.0035761185,0.0045163482,0.004118106,-0.033917814,-0.008541541,0.100815505,-0.014233537,-0.018389499,-0.054973714,-0.008311391,0.014755378,0.59613717,0.018030431,0.11097137,-0.026366806,-0.036050577,0.035375796,-0.00889194,-0.03160448,0.08786448,-0.055627234,0.14083982,-0.006430677,-0.07309425,-0.0058300514,-0.0328135,0.0061056917,-0.014250657,-0.019574607,0.7867146,-0.01397711,-0.037921622,0.6917151,-0.0066939695,0.011899271,0.42163005,-0.016457967,-0.011974176,-0.013019277,0.2539902,-0.051950976,-0.02015027,0.10708508,-0.008740792,-0.0056575527,-0.019709112,0.37025133,-0.017633853,-0.008219694,-0.019101955,-0.020031868,-0.009621063,1.1435875
TCGA-B7-A5TJ,-0.018958053,0.008449277,0.010072038,-0.08403049,-0.015988624,-0.002495879,0.0014429323,-0.013321394,-0.019917909,0.014378582,0.25683334,-0.031314775,0.0023046175,0.0012983135,-0.020845454,0.014645406,0.044603042,-0.020823497,-0.040826008,-0.06875904,-0.008873084,0.014880528,0.48913026,-0.015626606,0.14082775,-0.023041017,-0.066416994,0.014352836,-0.016902467,-0.03609429,0.12405923,-0.063044816,0.023706509,0.0012509865,-0.10575626,-0.035098992,-0.052351877,0.003475449,-0.015326317,-0.031104961,0.78837836,-0.015711324,-0.028163433,0.6757791,-0.027279723,0.04923781,0.39763337,-0.021180836,-0.013218685,-0.013075928,0.1614092,-0.08188829,-0.018513896,0.112327546,0.0018743689,0.011711685,-0.014849753,0.30014068,-0.02922744,-0.015123706,-0.013303089,-0.032842204,-0.009114606,1.0375617
TCGA-B7-A5TK,-0.011526269,-0.019005636,0.007930399,-0.051116012,-0.011695114,0.010668192,0.011623435,-0.013654852,-0.010040584,0.0029790606,0.2856443,-0.02482494,0.0082472,-0.0032159877,-0.021362437,-0.008203603,0.05790089,-0.009077905,-0.027094238,-0.057679564,-0.009971272,0.0012717933,0.45255506,-0.007765095,0.0983696,-0.0243865,-0.04690273,-0.008686724,-0.0010094438,-0.034090124,0.09908314,-0.05433072,0.0015568916,-0.008569352,-0.075790904,-0.023638258,-0.04091177,-0.010165876,-0.014986642,-0.019133324,0.71090627,-0.013355451,-0.036933765,0.63255346,-0.013865759,0.008585056,0.4503111,-0.014560762,-0.0078109484,-0.0064801183,0.16444656,-0.062951386,-0.011902615,0.18728988,-0.007367537,-0.015881103,-0.015815485,0.28942776,-0.0221652,-0.020858508,-0.0084406,-0.020840732,-0.016783392,1.007099
TCGA-B7-A5TN,-0.015486866,-0.018200662,-0.01431138,-0.037290365,-0.010621547,0.018634796,-0.013339171,-0.011873811,-0.01238686,-0.010515378,0.31002653,-0.017675867,0.0029206725,0.019441484,-0.030570125,-0.00822005,0.04062406,-0.01028296,-0.014684977,-0.05710622,-0.00454198,0.063162856,0.44852585,-0.0071062036,0.031684946,-0.02048907,-0.04210171,-0.0067660576,0.010094749,-0.044348523,0.10553351,-0.043587115,0.032510966,-0.0050599063,-0.06618619,-0.01611489,-0.034312896,-0.010727121,-0.018685954,-0.020000651,0.6853936,-0.0133579355,-0.04347864,0.7136274,-0.0159813,0.019576624,0.29330772,-0.017663918,-0.017278057,0.0067944247,0.26619384,-0.059276633,-0.016201315,0.096763484,-0.017414065,-0.017531417,-0.017797194,0.24137574,-0.023607325,-0.004202952,-0.010532519,-0.0027060665,-0.007267357,0.95805943
TCGA-BR-6452,-0.018452864,-0.02433492,-0.011262629,-0.07859747,-0.018411204,0.026380468,-0.011023765,-0.017114656,-0.017625691,-0.012335591,0.38605362,-0.03185241,-0.0064136405,-0.002239089,-0.030559339,-0.007150958,0.1244594,-0.010818626,-0.044090133,-0.078219235,-0.015439867,0.02535495,0.55205774,-0.017380897,0.16355646,-0.024647638,-0.06507204,-0.015532088,-0.019298058,-0.040470872,0.14665085,-0.06351536,0.082334235,-0.016389618,-0.10951494,-0.03500347,-0.033709556,-0.01873378,-0.020219553,-0.03131136,0.95801246,0.011437247,-0.042441674,0.8830497,-0.022490274,0.058580786,0.5269942,-0.020745907,-0.015504625,-0.018583877,0.21863452,-0.08018626,-0.015822235,0.17704011,-0.011932674,-0.010473874,-0.016662136,0.36869913,-0.027150871,-0.0009134975,-0.019666618,-0.026494056,-0.015816726,1.4315557
TCGA-BR-6453,-0.010718939,-0.021163233,0.022380918,-0.04734282,-0.010024782,-0.011445286,-0.012872377,-0.011232568,-0.0122508835,-0.0073703844,0.3528208,-0.025870752,-0.0024634814,0.011942355,-0.026760181,0.0059176385,0.07128412,-0.010796569,-0.024484241,-0.057688817,-0.011196394,0.012573227,0.51295,-0.008341646,0.053893276,-0.023449754,-0.045186043,-0.012924295,-0.007948671,-0.025224593,0.09468889,-0.05451916,-0.002412321,0.0057908045,-0.07244102,-0.023937695,-0.009734986,-0.009574842,-0.011339719,-0.01780941,0.7219167,-0.015087547,-0.035707492,0.6059552,-0.016296923,0.023203716,0.41132957,-0.0195743,-0.008134869,-0.014552577,0.07742348,-0.055116408,-0.010133786,0.19843003,-0.0078067835,-0.015207301,-0.009017341,0.32230785,-0.021517757,-0.019070152,-0.008279808,-0.016555544,-0.017468916,1.1072204
TCGA-BR-6455,-0.01895932,-0.02371727,-0.008696032,-0.071490616,-0.017976167,-0.01538662,-0.018663328,-0.015590381,-0.01485215,-0.004897749,0.40210092,-0.040973045,-0.012680713,-0.01638524,-0.024467211,-0.00904341,0.15309726,-0.02221103,-0.04087345,-0.084682405,-0.017574228,0.029108638,0.49540854,-0.015475031,0.1963816,-0.025664529,-0.06582093,-0.010873929,-0.009042882,-0.035510916,0.105164215,-0.059630856,0.005144692,-0.007240722,-0.102068126,-0.036161184,-0.034028642,-0.0122610275,-0.016230103,-0.014666036,0.82102656,-0.02445978,-0.037144653,0.6783741,-0.026272252,0.013132292,0.56129766,-0.02887744,-0.011253847,-0.008125294,0.07888403,-0.08041692,-0.016096475,0.18367077,-0.013256099,0.0103056105,-0.019360695,0.3497549,-0.03583527,0.012821723,-0.024786921,-0.029451948,-0.020375581,1.3188952
